agebroad,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN,904,estimates,1950
0_1,6.94,904,estimates,1950
0_4,16.028,904,estimates,1950
0_14,40.253,904,estimates,1950
0_17,46.344,904,estimates,1950
0_19,50.188,904,estimates,1950
0_24,59.156,904,estimates,1950
3_4,5.906,904,estimates,1950
3_5,8.669,904,estimates,1950
3_6,11.327,904,estimates,1950
4_5,5.646,904,estimates,1950
4_6,8.305,904,estimates,1950
5_14,24.225,904,estimates,1950
5_10,15.274,904,estimates,1950
5_11,17.595,904,estimates,1950
6_9,10.143,904,estimates,1950
6_10,12.511,904,estimates,1950
6_11,14.832,904,estimates,1950
6_12,17.104,904,estimates,1950
7_10,9.852,904,estimates,1950
7_12,14.446,904,estimates,1950
11_16,13.065,904,estimates,1950
11_17,15.042,904,estimates,1950
11_18,16.98,904,estimates,1950
12_14,6.63,904,estimates,1950
12_16,10.743,904,estimates,1950
12_17,12.72,904,estimates,1950
12_18,14.658,904,estimates,1950
13_17,10.448,904,estimates,1950
13_18,12.386,904,estimates,1950
13_19,14.292,904,estimates,1950
15_17,6.091,904,estimates,1950
18_23,11.118,904,estimates,1950
15_24,18.903,904,estimates,1950
15_49,47.893,904,estimates,1950
15_59,54.085,904,estimates,1950
15_64,56.19,904,estimates,1950
20_64,46.255,904,estimates,1950
20_69,47.768,904,estimates,1950
25_49,28.99,904,estimates,1950
25_64,37.286,904,estimates,1950
25_69,38.8,904,estimates,1950
15plus,59.747,904,estimates,1950
16plus,57.661,904,estimates,1950
17plus,55.634,904,estimates,1950
18plus,53.656,904,estimates,1950
20plus,49.812,904,estimates,1950
21plus,47.939,904,estimates,1950
25plus,40.844,904,estimates,1950
50plus,11.854,904,estimates,1950
60plus,5.662,904,estimates,1950
65plus,3.557,904,estimates,1950
70plus,2.044,904,estimates,1950
75plus,1.03,904,estimates,1950
80plus,0.446,904,estimates,1950
85plus,0.194,904,estimates,1950
90plus,0.076,904,estimates,1950
total,100,904,estimates,1950
"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN,904,estimates,1951
0_1,7.082,904,estimates,1951
0_4,16.3,904,estimates,1951
0_14,40.508,904,estimates,1951
0_17,46.575,904,estimates,1951
0_19,50.368,904,estimates,1951
0_24,59.255,904,estimates,1951
3_4,5.984,904,estimates,1951
3_5,8.772,904,estimates,1951
3_6,11.448,904,estimates,1951
4_5,5.706,904,estimates,1951
4_6,8.382,904,estimates,1951
5_14,24.208,904,estimates,1951
5_10,15.309,904,estimates,1951
5_11,17.608,904,estimates,1951
6_9,10.167,904,estimates,1951
6_10,12.521,904,estimates,1951
6_11,14.819,904,estimates,1951
6_12,17.072,904,estimates,1951
7_10,9.845,904,estimates,1951
7_12,14.396,904,estimates,1951
11_16,13.001,904,estimates,1951
11_17,14.966,904,estimates,1951
11_18,16.881,904,estimates,1951
12_14,6.6,904,estimates,1951
12_16,10.703,904,estimates,1951
12_17,12.667,904,estimates,1951
12_18,14.583,904,estimates,1951
13_17,10.415,904,estimates,1951
13_18,12.33,904,estimates,1951
13_19,14.207,904,estimates,1951
15_17,6.067,904,estimates,1951
18_23,10.982,904,estimates,1951
15_24,18.747,904,estimates,1951
15_49,47.635,904,estimates,1951
15_59,53.834,904,estimates,1951
15_64,55.931,904,estimates,1951
