country,variant,freq,year,sexratio_maleperfemale
276,Estimates,5yearly,1950,1.064
276,Estimates,5yearly,1955,1.058
276,Estimates,5yearly,1960,1.058
276,Estimates,5yearly,1965,1.058
276,Estimates,5yearly,1970,1.058
276,Estimates,5yearly,1975,1.058
276,Estimates,5yearly,1980,1.058
276,Estimates,5yearly,1985,1.058
276,Estimates,5yearly,1990,1.058
276,Estimates,5yearly,1995,1.058
276,Estimates,5yearly,2000,1.058
276,Estimates,5yearly,2005,1.058
276,Estimates,5yearly,2010,1.058
276,Medium_variant,5yearly,2015,1.058
276,Medium_variant,5yearly,2020,1.058
276,Medium_variant,5yearly,2025,1.058
276,Medium_variant,5yearly,2030,1.058
276,Medium_variant,5yearly,2035,1.058
276,Medium_variant,5yearly,2040,1.058
276,Medium_variant,5yearly,2045,1.058
276,Medium_variant,5yearly,2050,1.058
276,Medium_variant,5yearly,2055,1.058
276,Medium_variant,5yearly,2060,1.058
276,Medium_variant,5yearly,2065,1.058
276,Medium_variant,5yearly,2070,1.058
276,Medium_variant,5yearly,2075,1.058
276,Medium_variant,5yearly,2080,1.058
276,Medium_variant,5yearly,2085,1.058
276,Medium_variant,5yearly,2090,1.058
276,Medium_variant,5yearly,2095,1.058
