country,variant,freq,year,sexratio_maleperfemale
31,estimates,5yearly,1950,1.062
31,estimates,5yearly,1955,1.062
31,estimates,5yearly,1960,1.062
31,estimates,5yearly,1965,1.062
31,estimates,5yearly,1970,1.062
31,estimates,5yearly,1975,1.062
31,estimates,5yearly,1980,1.062
31,estimates,5yearly,1985,1.062
31,estimates,5yearly,1990,1.08
31,estimates,5yearly,1995,1.13
31,estimates,5yearly,2000,1.17
31,estimates,5yearly,2005,1.166
31,estimates,5yearly,2010,1.158
31,medium_variant,5yearly,2015,1.125
31,medium_variant,5yearly,2020,1.119
31,medium_variant,5yearly,2025,1.109
31,medium_variant,5yearly,2030,1.098
31,medium_variant,5yearly,2035,1.088
31,medium_variant,5yearly,2040,1.077
31,medium_variant,5yearly,2045,1.067
31,medium_variant,5yearly,2050,1.067
31,medium_variant,5yearly,2055,1.067
31,medium_variant,5yearly,2060,1.067
31,medium_variant,5yearly,2065,1.067
31,medium_variant,5yearly,2070,1.067
31,medium_variant,5yearly,2075,1.067
31,medium_variant,5yearly,2080,1.067
31,medium_variant,5yearly,2085,1.067
31,medium_variant,5yearly,2090,1.067
31,medium_variant,5yearly,2095,1.067
31,estimates,5yearly,Regi,Azerbaijan
31,medium_variant,5yearly,Regi,Azerbaijan
