country,variant,freq,year,sexratio_maleperfemale
450,estimates,5yearly,1950,1.016
450,estimates,5yearly,1955,1.016
450,estimates,5yearly,1960,1.016
450,estimates,5yearly,1965,1.016
450,estimates,5yearly,1970,1.016
450,estimates,5yearly,1975,1.016
450,estimates,5yearly,1980,1.016
450,estimates,5yearly,1985,1.016
450,estimates,5yearly,1990,1.016
450,estimates,5yearly,1995,1.016
450,estimates,5yearly,2000,1.02
450,estimates,5yearly,2005,1.025
450,estimates,5yearly,2010,1.03
450,medium_variant,5yearly,2015,1.03
450,medium_variant,5yearly,2020,1.03
450,medium_variant,5yearly,2025,1.03
450,medium_variant,5yearly,2030,1.03
450,medium_variant,5yearly,2035,1.03
450,medium_variant,5yearly,2040,1.03
450,medium_variant,5yearly,2045,1.03
450,medium_variant,5yearly,2050,1.03
450,medium_variant,5yearly,2055,1.03
450,medium_variant,5yearly,2060,1.03
450,medium_variant,5yearly,2065,1.03
450,medium_variant,5yearly,2070,1.03
450,medium_variant,5yearly,2075,1.03
450,medium_variant,5yearly,2080,1.03
450,medium_variant,5yearly,2085,1.03
450,medium_variant,5yearly,2090,1.03
450,medium_variant,5yearly,2095,1.03
450,estimates,5yearly,Regi,Madagascar
450,medium_variant,5yearly,Regi,Madagascar
