country,variant,freq,year,sexratio_maleperfemale
702,estimates,5Yearly,1950,1.073
702,estimates,5Yearly,1955,1.073
702,estimates,5Yearly,1960,1.073
702,estimates,5Yearly,1965,1.073
702,estimates,5Yearly,1970,1.073
702,estimates,5Yearly,1975,1.073
702,estimates,5Yearly,1980,1.073
702,estimates,5Yearly,1985,1.073
702,estimates,5Yearly,1990,1.073
702,estimates,5Yearly,1995,1.073
702,estimates,5Yearly,2000,1.073
702,estimates,5Yearly,2005,1.073
702,estimates,5Yearly,2010,1.073
702,medium variant,5Yearly,2015,1.073
702,medium variant,5Yearly,2020,1.073
702,medium variant,5Yearly,2025,1.073
702,medium variant,5Yearly,2030,1.073
702,medium variant,5Yearly,2035,1.073
702,medium variant,5Yearly,2040,1.073
702,medium variant,5Yearly,2045,1.073
702,medium variant,5Yearly,2050,1.073
702,medium variant,5Yearly,2055,1.073
702,medium variant,5Yearly,2060,1.073
702,medium variant,5Yearly,2065,1.073
702,medium variant,5Yearly,2070,1.073
702,medium variant,5Yearly,2075,1.073
702,medium variant,5Yearly,2080,1.073
702,medium variant,5Yearly,2085,1.073
702,medium variant,5Yearly,2090,1.073
702,medium variant,5Yearly,2095,1.073
