continent,variant,gender,freq,year,totaldeaths
903,estimates,female,5yearly,1950,15572.686
903,estimates,male,5yearly,1950,16775.656
903,estimates,female,5yearly,1955,15780.302
903,estimates,male,5yearly,1955,17054.024
903,estimates,female,5yearly,1960,16210.091
903,estimates,male,5yearly,1960,17541.126
903,estimates,female,5yearly,1965,16858.91
903,estimates,male,5yearly,1965,18278.804
903,estimates,female,5yearly,1970,17572.983
903,estimates,male,5yearly,1970,19213.997
903,estimates,female,5yearly,1975,18358.681
903,estimates,male,5yearly,1975,20184.717
903,estimates,female,5yearly,1980,19366.015
903,estimates,male,5yearly,1980,21421.382
903,estimates,female,5yearly,1985,20679.951
903,estimates,male,5yearly,1985,22986.168
903,estimates,female,5yearly,1990,23038.756
903,estimates,male,5yearly,1990,25785.485
903,estimates,female,5yearly,1995,25083.632
903,estimates,male,5yearly,1995,27725.863
903,estimates,female,5yearly,2000,26648.75
903,estimates,male,5yearly,2000,29098.426
903,estimates,female,5yearly,2005,26025.915
903,estimates,male,5yearly,2005,28336.674
903,estimates,female,5yearly,2010,25114.478
903,estimates,male,5yearly,2010,27854.899
903,constant_fertility,female,5yearly,2015,25638.288
903,constant_fertility,male,5yearly,2015,28799.382
903,constant_mortality,female,5yearly,2015,28473.735
903,constant_mortality,male,5yearly,2015,31573.859
903,high_variant,female,5yearly,2015,25512.759
903,high_variant,male,5yearly,2015,28647.616
903,instant_replacement,female,5yearly,2015,22221.991
903,instant_replacement,male,5yearly,2015,24705.098
903,low_variant,female,5yearly,2015,24908.382
903,low_variant,male,5yearly,2015,27917.757
903,medium_variant,female,5yearly,2015,25210.578
903,medium_variant,male,5yearly,2015,28282.683
903,momentum,female,5yearly,2015,25085.606
903,momentum,male,5yearly,2015,27597.512
903,no_change,female,5yearly,2015,28977.872
903,no_change,male,5yearly,2015,32171.37
903,zero_migration,female,5yearly,2015,25228.399
903,zero_migration,male,5yearly,2015,28309.883
903,constant_fertility,female,5yearly,2020,26930.053
903,constant_fertility,male,5yearly,2020,30599.299
903,constant_mortality,female,5yearly,2020,32107.623
903,constant_mortality,male,5yearly,2020,35602.75
903,high_variant,female,5yearly,2020,26530.868
903,high_variant,male,5yearly,2020,30113.513
903,instant_replacement,female,5yearly,2020,22386.952
903,instant_replacement,male,5yearly,2020,25091.634
903,low_variant,female,5yearly,2020,25398.045
903,low_variant,male,5yearly,2020,28728.477
903,medium_variant,female,5yearly,2020,25964.448
903,medium_variant,male,5yearly,2020,29420.999
903,momentum,female,5yearly,2020,27484.316
903,momentum,male,5yearly,2020,30258.015
903,no_change,female,5yearly,2020,33438.522
903,no_change,male,5yearly,2020,37168.345
903,zero_migration,female,5yearly,2020,26014.343
903,zero_migration,male,5yearly,2020,29497.406
903,constant_fertility,female,5yearly,2025,28446.958
903,constant_fertility,male,5yearly,2025,32684.739
903,constant_mortality,female,5yearly,2025,36122.197
903,constant_mortality,male,5yearly,2025,40061.648
903,high_variant,female,5yearly,2025,27695.754
903,high_variant,male,5yearly,2025,31754.524
903,instant_replacement,female,5yearly,2025,23437.086
903,instant_replacement,male,5yearly,2025,26477.869
903,low_variant,female,5yearly,2025,26167.827
903,low_variant,male,5yearly,2025,29851.243
903,medium_variant,female,5yearly,2025,26931.79
903,medium_variant,male,5yearly,2025,30802.873
903,momentum,female,5yearly,2025,31019.758
903,momentum,male,5yearly,2025,34205.674
903,no_change,female,5yearly,2025,38558.296
903,no_change,male,5yearly,2025,42913.121
903,zero_migration,female,5yearly,2025,27008.989
903,zero_migration,male,5yearly,2025,30920.916
903,constant_fertility,female,5yearly,2030,30275.054
903,constant_fertility,male,5yearly,2030,35174.081
903,constant_mortality,female,5yearly,2030,40566.471
903,constant_mortality,male,5yearly,2030,44968.789
