country,variant,freq,year,under5mortalityper1000livebirth
854,estimates,5yearly,1950,376.23845937341
854,estimates,5yearly,1955,350.984570914997
854,estimates,5yearly,1960,327.43781108757
854,estimates,5yearly,1965,301.306432071302
854,estimates,5yearly,1970,282.749250071966
854,estimates,5yearly,1975,258.417635630377
854,estimates,5yearly,1980,228.949233156128
854,estimates,5yearly,1985,212.340875384241
854,estimates,5yearly,1990,203.84943164907
854,estimates,5yearly,1995,190.310329046945
854,estimates,5yearly,2000,172.973345693731
854,estimates,5yearly,2005,135.356004422072
854,estimates,5yearly,2010,99.6527649875745
854,medium_variant,5yearly,2015,83.7189890292105
854,medium_variant,5yearly,2020,70.7245291436332
854,medium_variant,5yearly,2025,60.1005758212454
854,medium_variant,5yearly,2030,51.473307628524
854,medium_variant,5yearly,2035,43.6067866616239
854,medium_variant,5yearly,2040,37.1194563967638
854,medium_variant,5yearly,2045,32.225363599718
854,medium_variant,5yearly,2050,28.1110292193751
854,medium_variant,5yearly,2055,24.6604857292095
854,medium_variant,5yearly,2060,21.8838439960934
854,medium_variant,5yearly,2065,19.8354800119359
854,medium_variant,5yearly,2070,18.1155569105624
854,medium_variant,5yearly,2075,16.6564612886305
854,medium_variant,5yearly,2080,15.3259862429468
854,medium_variant,5yearly,2085,14.1170261256237
854,medium_variant,5yearly,2090,13.074716354169
854,medium_variant,5yearly,2095,12.142371689551
