country,year,variant,gender,freq,age5yearinterval,totaldeaths
140,1950,estimates,female,5yearly,0_4,44.976
140,1950,estimates,male,5yearly,0_4,50.801
140,1950,estimates,female,5yearly,5_9,5.171
140,1950,estimates,male,5yearly,5_9,5.129
140,1950,estimates,female,5yearly,10_14,3.012
140,1950,estimates,male,5yearly,10_14,2.899
140,1950,estimates,female,5yearly,15_19,2.534
140,1950,estimates,male,5yearly,15_19,2.671
140,1950,estimates,female,5yearly,20_24,2.751
140,1950,estimates,male,5yearly,20_24,3.276
140,1950,estimates,female,5yearly,25_29,2.881
140,1950,estimates,male,5yearly,25_29,3.283
140,1950,estimates,female,5yearly,30_34,2.939
140,1950,estimates,male,5yearly,30_34,3.045
140,1950,estimates,female,5yearly,35_39,2.958
140,1950,estimates,male,5yearly,35_39,3.089
140,1950,estimates,female,5yearly,40_44,2.893
140,1950,estimates,male,5yearly,40_44,3.285
140,1950,estimates,female,5yearly,45_49,2.795
140,1950,estimates,male,5yearly,45_49,3.452
140,1950,estimates,female,5yearly,50_54,2.987
140,1950,estimates,male,5yearly,50_54,3.683
140,1950,estimates,female,5yearly,55_59,3.4
140,1950,estimates,male,5yearly,55_59,3.917
140,1950,estimates,female,5yearly,60_64,4.016
140,1950,estimates,male,5yearly,60_64,4.227
140,1950,estimates,female,5yearly,65_69,4.916
140,1950,estimates,male,5yearly,65_69,4.782
140,1950,estimates,female,5yearly,70_74,5.29
140,1950,estimates,male,5yearly,70_74,4.868
140,1950,estimates,female,5yearly,75_79,4.488
140,1950,estimates,male,5yearly,75_79,3.88
140,1950,estimates,female,5yearly,80_84,2.765
140,1950,estimates,male,5yearly,80_84,2.23
140,1950,estimates,female,5yearly,85_89,1.087
140,1950,estimates,male,5yearly,85_89,0.76
140,1950,estimates,female,5yearly,90_94,0.26
140,1950,estimates,male,5yearly,90_94,0.135
140,1950,estimates,female,5yearly,95plus,0.038
140,1950,estimates,male,5yearly,95plus,0.01
140,1955,estimates,female,5yearly,0_4,46.135
140,1955,estimates,male,5yearly,0_4,52.29
140,1955,estimates,female,5yearly,5_9,5.174
140,1955,estimates,male,5yearly,5_9,5.146
140,1955,estimates,female,5yearly,10_14,2.926
140,1955,estimates,male,5yearly,10_14,2.844
140,1955,estimates,female,5yearly,15_19,2.477
140,1955,estimates,male,5yearly,15_19,2.641
140,1955,estimates,female,5yearly,20_24,2.683
140,1955,estimates,male,5yearly,20_24,3.222
140,1955,estimates,female,5yearly,25_29,2.836
140,1955,estimates,male,5yearly,25_29,3.248
140,1955,estimates,female,5yearly,30_34,2.946
140,1955,estimates,male,5yearly,30_34,3.038
140,1955,estimates,female,5yearly,35_39,2.903
140,1955,estimates,male,5yearly,35_39,3.032
140,1955,estimates,female,5yearly,40_44,2.771
140,1955,estimates,male,5yearly,40_44,3.181
140,1955,estimates,female,5yearly,45_49,2.716
140,1955,estimates,male,5yearly,45_49,3.359
140,1955,estimates,female,5yearly,50_54,2.887
140,1955,estimates,male,5yearly,50_54,3.55
140,1955,estimates,female,5yearly,55_59,3.377
140,1955,estimates,male,5yearly,55_59,3.88
140,1955,estimates,female,5yearly,60_64,3.917
140,1955,estimates,male,5yearly,60_64,4.128
140,1955,estimates,female,5yearly,65_69,4.449
140,1955,estimates,male,5yearly,65_69,4.346
140,1955,estimates,female,5yearly,70_74,4.828
140,1955,estimates,male,5yearly,70_74,4.468
140,1955,estimates,female,5yearly,75_79,4.232
140,1955,estimates,male,5yearly,75_79,3.656
140,1955,estimates,female,5yearly,80_84,2.692
140,1955,estimates,male,5yearly,80_84,2.086
140,1955,estimates,female,5yearly,85_89,1.095
140,1955,estimates,male,5yearly,85_89,0.73
140,1955,estimates,female,5yearly,90_94,0.261
140,1955,estimates,male,5yearly,90_94,0.141
140,1955,estimates,female,5yearly,95plus,0.038
140,1955,estimates,male,5yearly,95plus,0.011
140,1960,estimates,female,5yearly,0_4,47.146
140,1960,estimates,male,5yearly,0_4,53.769
140,1960,estimates,female,5yearly,5_9,5.379
140,1960,estimates,male,5yearly,5_9,5.373
140,1960,estimates,female,5yearly,10_14,2.961
140,1960,estimates,male,5yearly,10_14,2.889
140,1960,estimates,female,5yearly,15_19,2.437
140,1960,estimates,male,5yearly,15_19,2.629
140,1960,estimates,female,5yearly,20_24,2.656
140,1960,estimates,male,5yearly,20_24,3.223
140,1960,estimates,female,5yearly,25_29,2.797
140,1960,estimates,male,5yearly,25_29,3.23
140,1960,estimates,female,5yearly,30_34,2.923
140,1960,estimates,male,5yearly,30_34,3.039
140,1960,estimates,female,5yearly,35_39,2.939
140,1960,estimates,male,5yearly,35_39,3.052
140,1960,estimates,female,5yearly,40_44,2.755
140,1960,estimates,male,5yearly,40_44,3.151
140,1960,estimates,female,5yearly,45_49,2.635
140,1960,estimates,male,5yearly,45_49,3.29
140,1960,estimates,female,5yearly,50_54,2.837
140,1960,estimates,male,5yearly,50_54,3.502
140,1960,estimates,female,5yearly,55_59,3.296
140,1960,estimates,male,5yearly,55_59,3.791
140,1960,estimates,female,5yearly,60_64,3.942
140,1960,estimates,male,5yearly,60_64,4.158
140,1960,estimates,female,5yearly,65_69,4.427
140,1960,estimates,male,5yearly,65_69,4.335
140,1960,estimates,female,5yearly,70_74,4.494
140,1960,estimates,male,5yearly,70_74,4.173
140,1960,estimates,female,5yearly,75_79,4.012
140,1960,estimates,male,5yearly,75_79,3.488
140,1960,estimates,female,5yearly,80_84,2.68
140,1960,estimates,male,5yearly,80_84,2.089
140,1960,estimates,female,5yearly,85_89,1.147
140,1960,estimates,male,5yearly,85_89,0.752
140,1960,estimates,female,5yearly,90_94,0.287
140,1960,estimates,male,5yearly,90_94,0.146
140,1960,estimates,female,5yearly,95plus,0.04
140,1960,estimates,male,5yearly,95plus,0.013
140,1965,estimates,female,5yearly,0_4,46.877
140,1965,estimates,male,5yearly,0_4,53.906
140,1965,estimates,female,5yearly,5_9,5.451
140,1965,estimates,male,5yearly,5_9,5.509
140,1965,estimates,female,5yearly,10_14,3.045
140,1965,estimates,male,5yearly,10_14,2.995
140,1965,estimates,female,5yearly,15_19,2.429
140,1965,estimates,male,5yearly,15_19,2.646
140,1965,estimates,female,5yearly,20_24,2.586
140,1965,estimates,male,5yearly,20_24,3.182
140,1965,estimates,female,5yearly,25_29,2.743
140,1965,estimates,male,5yearly,25_29,3.209
140,1965,estimates,female,5yearly,30_34,2.854
140,1965,estimates,male,5yearly,30_34,3.007
140,1965,estimates,female,5yearly,35_39,2.892
140,1965,estimates,male,5yearly,35_39,3.034
140,1965,estimates,female,5yearly,40_44,2.774
140,1965,estimates,male,5yearly,40_44,3.151
140,1965,estimates,female,5yearly,45_49,2.61
140,1965,estimates,male,5yearly,45_49,3.247
140,1965,estimates,female,5yearly,50_54,2.742
140,1965,estimates,male,5yearly,50_54,3.428
140,1965,estimates,female,5yearly,55_59,3.221
140,1965,estimates,male,5yearly,55_59,3.741
140,1965,estimates,female,5yearly,60_64,3.842
140,1965,estimates,male,5yearly,60_64,4.08
140,1965,estimates,female,5yearly,65_69,4.477
140,1965,estimates,male,5yearly,65_69,4.404
140,1965,estimates,female,5yearly,70_74,4.544
140,1965,estimates,male,5yearly,70_74,4.232
