country,year,variant,freq,age5yearinterval,fertilityrateper1000women
4,1950,estimates,5yearly,15_19,145.245
4,1950,estimates,5yearly,20_24,313.809
4,1950,estimates,5yearly,25_29,339.005
4,1950,estimates,5yearly,30_34,290.535
4,1950,estimates,5yearly,35_39,233.111
4,1950,estimates,5yearly,40_44,129.689
4,1950,estimates,5yearly,45_49,38.606
4,1955,estimates,5yearly,15_19,145.245
4,1955,estimates,5yearly,20_24,313.809
4,1955,estimates,5yearly,25_29,339.005
4,1955,estimates,5yearly,30_34,290.535
4,1955,estimates,5yearly,35_39,233.111
4,1955,estimates,5yearly,40_44,129.689
4,1955,estimates,5yearly,45_49,38.606
4,1960,estimates,5yearly,15_19,145.245
4,1960,estimates,5yearly,20_24,313.809
4,1960,estimates,5yearly,25_29,339.005
4,1960,estimates,5yearly,30_34,290.535
4,1960,estimates,5yearly,35_39,233.111
4,1960,estimates,5yearly,40_44,129.689
4,1960,estimates,5yearly,45_49,38.606
4,1965,estimates,5yearly,15_19,145.245
4,1965,estimates,5yearly,20_24,313.809
4,1965,estimates,5yearly,25_29,339.005
4,1965,estimates,5yearly,30_34,290.535
4,1965,estimates,5yearly,35_39,233.111
4,1965,estimates,5yearly,40_44,129.689
4,1965,estimates,5yearly,45_49,38.606
4,1970,estimates,5yearly,15_19,145.245
4,1970,estimates,5yearly,20_24,313.809
4,1970,estimates,5yearly,25_29,339.005
4,1970,estimates,5yearly,30_34,290.535
4,1970,estimates,5yearly,35_39,233.111
4,1970,estimates,5yearly,40_44,129.689
4,1970,estimates,5yearly,45_49,38.606
4,1975,estimates,5yearly,15_19,150.088
4,1975,estimates,5yearly,20_24,310.233
4,1975,estimates,5yearly,25_29,330.78
4,1975,estimates,5yearly,30_34,292.353
4,1975,estimates,5yearly,35_39,234.466
4,1975,estimates,5yearly,40_44,132.64
4,1975,estimates,5yearly,45_49,39.44
4,1980,estimates,5yearly,15_19,155.631
4,1980,estimates,5yearly,20_24,306.493
4,1980,estimates,5yearly,25_29,322.272
4,1980,estimates,5yearly,30_34,293.917
4,1980,estimates,5yearly,35_39,235.495
4,1980,estimates,5yearly,40_44,135.545
4,1980,estimates,5yearly,45_49,40.647
4,1985,estimates,5yearly,15_19,161.195
4,1985,estimates,5yearly,20_24,304.809
4,1985,estimates,5yearly,25_29,316.819
4,1985,estimates,5yearly,30_34,295.264
4,1985,estimates,5yearly,35_39,235.78
4,1985,estimates,5yearly,40_44,137.265
4,1985,estimates,5yearly,45_49,42.648
4,1990,estimates,5yearly,15_19,163.929
4,1990,estimates,5yearly,20_24,306.519
4,1990,estimates,5yearly,25_29,317.773
4,1990,estimates,5yearly,30_34,294.429
4,1990,estimates,5yearly,35_39,233.211
4,1990,estimates,5yearly,40_44,135.004
4,1990,estimates,5yearly,45_49,45.535
4,1995,estimates,5yearly,15_19,165.228
4,1995,estimates,5yearly,20_24,320.69
4,1995,estimates,5yearly,25_29,335.737
4,1995,estimates,5yearly,30_34,298.296
