country,variant,freq,year,lifeexpectancyatbirth
148,estimates,5yearly,1950,36.056
148,estimates,5yearly,1955,37.361
148,estimates,5yearly,1960,38.702
148,estimates,5yearly,1965,40.143
148,estimates,5yearly,1970,42.524
148,estimates,5yearly,1975,43.985
148,estimates,5yearly,1980,45.382
148,estimates,5yearly,1985,46.643
148,estimates,5yearly,1990,47.141
148,estimates,5yearly,1995,47.648
148,estimates,5yearly,2000,47.657
148,estimates,5yearly,2005,48.869
148,estimates,5yearly,2010,51.671
148,medium_variant,5yearly,2015,53.31
148,medium_variant,5yearly,2020,54.938
148,medium_variant,5yearly,2025,56.567
148,medium_variant,5yearly,2030,58.155
148,medium_variant,5yearly,2035,59.683
148,medium_variant,5yearly,2040,61.174
148,medium_variant,5yearly,2045,62.559
148,medium_variant,5yearly,2050,63.894
148,medium_variant,5yearly,2055,65.123
148,medium_variant,5yearly,2060,66.265
148,medium_variant,5yearly,2065,67.317
148,medium_variant,5yearly,2070,68.283
148,medium_variant,5yearly,2075,69.176
148,medium_variant,5yearly,2080,70.022
148,medium_variant,5yearly,2085,70.829
148,medium_variant,5yearly,2090,71.584
148,medium_variant,5yearly,2095,72.325
