country,variant,freq,year,lifeexpectancyatbirth
340,estimates,5yearly,1950,41.788
340,estimates,5yearly,1955,44.587
340,estimates,5yearly,1960,48.002
340,estimates,5yearly,1965,51.045
340,estimates,5yearly,1970,54.088
340,estimates,5yearly,1975,57.709
340,estimates,5yearly,1980,61.587
340,estimates,5yearly,1985,65.454
340,estimates,5yearly,1990,67.726
340,estimates,5yearly,1995,69.883
340,estimates,5yearly,2000,71.012
340,estimates,5yearly,2005,72.008
340,estimates,5yearly,2010,72.883
340,medium_variant,5yearly,2015,73.878
340,medium_variant,5yearly,2020,74.814
340,medium_variant,5yearly,2025,75.693
340,medium_variant,5yearly,2030,76.538
340,medium_variant,5yearly,2035,77.351
340,medium_variant,5yearly,2040,78.155
340,medium_variant,5yearly,2045,78.954
340,medium_variant,5yearly,2050,79.732
340,medium_variant,5yearly,2055,80.513
340,medium_variant,5yearly,2060,81.302
340,medium_variant,5yearly,2065,82.076
340,medium_variant,5yearly,2070,82.819
340,medium_variant,5yearly,2075,83.546
340,medium_variant,5yearly,2080,84.227
340,medium_variant,5yearly,2085,84.863
340,medium_variant,5yearly,2090,85.452
340,medium_variant,5yearly,2095,86.028
340,estimates,5yearly,Regi,Honduras
340,medium_variant,5yearly,Regi,Honduras
