country,variant,freq,year,lifeexpectancyatbirth
578,estimates,5yearly,1950,72.804
578,estimates,5yearly,1955,73.481
578,estimates,5yearly,1960,73.472
578,estimates,5yearly,1965,73.914
578,estimates,5yearly,1970,74.433
578,estimates,5yearly,1975,75.304
578,estimates,5yearly,1980,76.005
578,estimates,5yearly,1985,76.282
578,estimates,5yearly,1990,77.286
578,estimates,5yearly,1995,78.292
578,estimates,5yearly,2000,79.333
578,estimates,5yearly,2005,80.602
578,estimates,5yearly,2010,81.606
578,medium_variant,5yearly,2015,82.394
578,medium_variant,5yearly,2020,83.199
578,medium_variant,5yearly,2025,83.973
578,medium_variant,5yearly,2030,84.652
578,medium_variant,5yearly,2035,85.272
578,medium_variant,5yearly,2040,85.86
578,medium_variant,5yearly,2045,86.451
578,medium_variant,5yearly,2050,87.003
578,medium_variant,5yearly,2055,87.557
578,medium_variant,5yearly,2060,88.124
578,medium_variant,5yearly,2065,88.675
578,medium_variant,5yearly,2070,89.229
578,medium_variant,5yearly,2075,89.775
578,medium_variant,5yearly,2080,90.328
578,medium_variant,5yearly,2085,90.872
578,medium_variant,5yearly,2090,91.432
578,medium_variant,5yearly,2095,91.965
578,estimates,5yearly,Regi,Norway
578,medium_variant,5yearly,Regi,Norway
