country,variant,freq,year,lifeexpectancyatbirth
807,estimates,5yearly,1950,54.9
807,estimates,5yearly,1955,58.958
807,estimates,5yearly,1960,62.12
807,estimates,5yearly,1965,65.017
807,estimates,5yearly,1970,67.309
807,estimates,5yearly,1975,68.454
807,estimates,5yearly,1980,68.908
807,estimates,5yearly,1985,70.673
807,estimates,5yearly,1990,71.54
807,estimates,5yearly,1995,72.65
807,estimates,5yearly,2000,73.779
807,estimates,5yearly,2005,74.169
807,estimates,5yearly,2010,75.149
807,medium_variant,5yearly,2015,75.917
807,medium_variant,5yearly,2020,76.666
807,medium_variant,5yearly,2025,77.417
807,medium_variant,5yearly,2030,78.16
807,medium_variant,5yearly,2035,78.898
807,medium_variant,5yearly,2040,79.646
807,medium_variant,5yearly,2045,80.389
807,medium_variant,5yearly,2050,81.139
807,medium_variant,5yearly,2055,81.876
807,medium_variant,5yearly,2060,82.632
807,medium_variant,5yearly,2065,83.362
807,medium_variant,5yearly,2070,84.059
807,medium_variant,5yearly,2075,84.719
807,medium_variant,5yearly,2080,85.323
807,medium_variant,5yearly,2085,85.895
807,medium_variant,5yearly,2090,86.449
807,medium_variant,5yearly,2095,86.997
807,estimates,5yearly,Regi,TFYR Macedonia
807,medium_variant,5yearly,Regi,TFYR Macedonia
