country,variant,freq,year,lifeexpectancyatbirth
191,estimates,5yearly,1950,61.267
191,estimates,5yearly,1955,63.642
191,estimates,5yearly,1960,65.732
191,estimates,5yearly,1965,67.479
191,estimates,5yearly,1970,69.063
191,estimates,5yearly,1975,69.924
191,estimates,5yearly,1980,70.602
191,estimates,5yearly,1985,71.891
191,estimates,5yearly,1990,72.807
191,estimates,5yearly,1995,74.566
191,estimates,5yearly,2000,74.937
191,estimates,5yearly,2005,76.094
191,estimates,5yearly,2010,77.049
191,medium_variant,5yearly,2015,77.884
191,medium_variant,5yearly,2020,78.72
191,medium_variant,5yearly,2025,79.547
191,medium_variant,5yearly,2030,80.378
191,medium_variant,5yearly,2035,81.201
191,medium_variant,5yearly,2040,82.026
191,medium_variant,5yearly,2045,82.825
191,medium_variant,5yearly,2050,83.558
191,medium_variant,5yearly,2055,84.212
191,medium_variant,5yearly,2060,84.833
191,medium_variant,5yearly,2065,85.417
191,medium_variant,5yearly,2070,85.99
191,medium_variant,5yearly,2075,86.557
191,medium_variant,5yearly,2080,87.111
191,medium_variant,5yearly,2085,87.669
191,medium_variant,5yearly,2090,88.215
191,medium_variant,5yearly,2095,88.77
