country,variant,freq,year,lifeexpectancyatbirth
52,estimates,5yearly,1950,57.214
52,estimates,5yearly,1955,59.807
52,estimates,5yearly,1960,62.167
52,estimates,5yearly,1965,64.597
52,estimates,5yearly,1970,66.405
52,estimates,5yearly,1975,67.95
52,estimates,5yearly,1980,69.463
52,estimates,5yearly,1985,70.774
52,estimates,5yearly,1990,71.944
52,estimates,5yearly,1995,72.96
52,estimates,5yearly,2000,73.76
52,estimates,5yearly,2005,74.565
52,estimates,5yearly,2010,75.373
52,medium_variant,5yearly,2015,76.13
52,medium_variant,5yearly,2020,76.891
52,medium_variant,5yearly,2025,77.653
52,medium_variant,5yearly,2030,78.407
52,medium_variant,5yearly,2035,79.153
52,medium_variant,5yearly,2040,79.925
52,medium_variant,5yearly,2045,80.684
52,medium_variant,5yearly,2050,81.425
52,medium_variant,5yearly,2055,82.17
52,medium_variant,5yearly,2060,82.919
52,medium_variant,5yearly,2065,83.639
52,medium_variant,5yearly,2070,84.321
52,medium_variant,5yearly,2075,84.963
52,medium_variant,5yearly,2080,85.558
52,medium_variant,5yearly,2085,86.123
52,medium_variant,5yearly,2090,86.677
52,medium_variant,5yearly,2095,87.229
