country,variant,freq,year,lifeexpectancyatbirth
233,estimates,5yearly,1950,61.787
233,estimates,5yearly,1955,66.939
233,estimates,5yearly,1960,69.383
233,estimates,5yearly,1965,70.315
233,estimates,5yearly,1970,70.255
233,estimates,5yearly,1975,69.421
233,estimates,5yearly,1980,69.313
233,estimates,5yearly,1985,70.333
233,estimates,5yearly,1990,68.477
233,estimates,5yearly,1995,69.44
233,estimates,5yearly,2000,71.589
233,estimates,5yearly,2005,73.778
233,estimates,5yearly,2010,76.762
233,medium_variant,5yearly,2015,77.692
233,medium_variant,5yearly,2020,78.614
233,medium_variant,5yearly,2025,79.534
233,medium_variant,5yearly,2030,80.444
233,medium_variant,5yearly,2035,81.331
233,medium_variant,5yearly,2040,82.147
233,medium_variant,5yearly,2045,82.876
233,medium_variant,5yearly,2050,83.533
233,medium_variant,5yearly,2055,84.16
233,medium_variant,5yearly,2060,84.767
233,medium_variant,5yearly,2065,85.363
233,medium_variant,5yearly,2070,85.947
233,medium_variant,5yearly,2075,86.526
233,medium_variant,5yearly,2080,87.109
233,medium_variant,5yearly,2085,87.686
233,medium_variant,5yearly,2090,88.251
233,medium_variant,5yearly,2095,88.817
233,estimates,5yearly,Regi,Estonia
233,medium_variant,5yearly,Regi,Estonia
