country,variant,freq,year,lifeexpectancyatbirth
242,estimates,5yearly,1950,52.206
242,estimates,5yearly,1955,54.729
242,estimates,5yearly,1960,56.909
242,estimates,5yearly,1965,58.927
242,estimates,5yearly,1970,60.71
242,estimates,5yearly,1975,62.235
242,estimates,5yearly,1980,63.677
242,estimates,5yearly,1985,64.931
242,estimates,5yearly,1990,66.051
242,estimates,5yearly,1995,67.069
242,estimates,5yearly,2000,68.003
242,estimates,5yearly,2005,68.804
242,estimates,5yearly,2010,69.723
242,medium_variant,5yearly,2015,70.483
242,medium_variant,5yearly,2020,71.211
242,medium_variant,5yearly,2025,71.894
242,medium_variant,5yearly,2030,72.592
242,medium_variant,5yearly,2035,73.27
242,medium_variant,5yearly,2040,73.967
242,medium_variant,5yearly,2045,74.658
242,medium_variant,5yearly,2050,75.339
242,medium_variant,5yearly,2055,76.022
242,medium_variant,5yearly,2060,76.728
242,medium_variant,5yearly,2065,77.431
242,medium_variant,5yearly,2070,78.15
242,medium_variant,5yearly,2075,78.856
242,medium_variant,5yearly,2080,79.607
242,medium_variant,5yearly,2085,80.332
242,medium_variant,5yearly,2090,81.091
242,medium_variant,5yearly,2095,81.845
