country,variant,freq,year,lifeexpectancyatbirth
826,estimates,5yearly,1950,69.406
826,estimates,5yearly,1955,70.608
826,estimates,5yearly,1960,71.04
826,estimates,5yearly,1965,71.708
826,estimates,5yearly,1970,72.213
826,estimates,5yearly,1975,73.013
826,estimates,5yearly,1980,74.193
826,estimates,5yearly,1985,75.134
826,estimates,5yearly,1990,76.241
826,estimates,5yearly,1995,77.17
826,estimates,5yearly,2000,78.41
826,estimates,5yearly,2005,79.692
826,estimates,5yearly,2010,80.967
826,medium_variant,5yearly,2015,81.773
826,medium_variant,5yearly,2020,82.578
826,medium_variant,5yearly,2025,83.387
826,medium_variant,5yearly,2030,84.183
826,medium_variant,5yearly,2035,84.885
826,medium_variant,5yearly,2040,85.52
826,medium_variant,5yearly,2045,86.116
826,medium_variant,5yearly,2050,86.71
826,medium_variant,5yearly,2055,87.27
826,medium_variant,5yearly,2060,87.845
826,medium_variant,5yearly,2065,88.42
826,medium_variant,5yearly,2070,88.98
826,medium_variant,5yearly,2075,89.555
826,medium_variant,5yearly,2080,90.122
826,medium_variant,5yearly,2085,90.69
826,medium_variant,5yearly,2090,91.256
826,medium_variant,5yearly,2095,91.824
