country,variant,freq,year,meanageforchildbearing
170,estimates,5yearly,1950,29.545
170,estimates,5yearly,1955,29.545
170,estimates,5yearly,1960,29.545
170,estimates,5yearly,1965,29.343
170,estimates,5yearly,1970,29.46
170,estimates,5yearly,1975,28.932
170,estimates,5yearly,1980,28.399
170,estimates,5yearly,1985,27.871
170,estimates,5yearly,1990,27.385
170,estimates,5yearly,1995,27.039
170,estimates,5yearly,2000,26.59
170,estimates,5yearly,2005,27.071
170,estimates,5yearly,2010,27.082
170,medium_variant,5yearly,2015,27.373
170,medium_variant,5yearly,2020,27.746
170,medium_variant,5yearly,2025,28.14
170,medium_variant,5yearly,2030,28.472
170,medium_variant,5yearly,2035,28.764
170,medium_variant,5yearly,2040,29.022
170,medium_variant,5yearly,2045,29.248
170,medium_variant,5yearly,2050,29.446
170,medium_variant,5yearly,2055,29.619
170,medium_variant,5yearly,2060,29.772
170,medium_variant,5yearly,2065,29.906
170,medium_variant,5yearly,2070,30.025
170,medium_variant,5yearly,2075,30.131
170,medium_variant,5yearly,2080,30.224
170,medium_variant,5yearly,2085,30.308
170,medium_variant,5yearly,2090,30.382
170,medium_variant,5yearly,2095,30.446
170,estimates,5yearly,Regi,Colombia
170,medium_variant,5yearly,Regi,Colombia
