country,variant,freq,year,meanageforchildbearing
586,estimates,5yearly,1950,29.946
586,estimates,5yearly,1955,29.946
586,estimates,5yearly,1960,29.946
586,estimates,5yearly,1965,29.946
586,estimates,5yearly,1970,29.974
586,estimates,5yearly,1975,30.003
586,estimates,5yearly,1980,29.99
586,estimates,5yearly,1985,29.917
586,estimates,5yearly,1990,29.857
586,estimates,5yearly,1995,29.798
586,estimates,5yearly,2000,29.672
586,estimates,5yearly,2005,29.352
586,estimates,5yearly,2010,28.878
586,medium_variant,5yearly,2015,28.578
586,medium_variant,5yearly,2020,28.356
586,medium_variant,5yearly,2025,28.199
586,medium_variant,5yearly,2030,28.093
586,medium_variant,5yearly,2035,28.034
586,medium_variant,5yearly,2040,28.013
586,medium_variant,5yearly,2045,28.027
586,medium_variant,5yearly,2050,28.069
586,medium_variant,5yearly,2055,28.136
586,medium_variant,5yearly,2060,28.225
586,medium_variant,5yearly,2065,28.329
586,medium_variant,5yearly,2070,28.447
586,medium_variant,5yearly,2075,28.575
586,medium_variant,5yearly,2080,28.713
586,medium_variant,5yearly,2085,28.857
586,medium_variant,5yearly,2090,29.005
586,medium_variant,5yearly,2095,29.157
