country,variant,freq,year,meanageforchildbearing
51,estimates,5yearly,1950,29.959
51,estimates,5yearly,1955,29.496
51,estimates,5yearly,1960,28.861
51,estimates,5yearly,1965,28.053
51,estimates,5yearly,1970,27.128
51,estimates,5yearly,1975,26.187
51,estimates,5yearly,1980,25.573
51,estimates,5yearly,1985,25.312
51,estimates,5yearly,1990,24.924
51,estimates,5yearly,1995,25.012
51,estimates,5yearly,2000,25.455
51,estimates,5yearly,2005,25.933
51,estimates,5yearly,2010,26.261
51,medium_variant,5yearly,2015,26.815
51,medium_variant,5yearly,2020,27.612
51,medium_variant,5yearly,2025,28.157
51,medium_variant,5yearly,2030,28.613
51,medium_variant,5yearly,2035,28.981
51,medium_variant,5yearly,2040,29.281
51,medium_variant,5yearly,2045,29.525
51,medium_variant,5yearly,2050,29.723
51,medium_variant,5yearly,2055,29.886
51,medium_variant,5yearly,2060,30.019
51,medium_variant,5yearly,2065,30.128
51,medium_variant,5yearly,2070,30.218
51,medium_variant,5yearly,2075,30.294
51,medium_variant,5yearly,2080,30.361
51,medium_variant,5yearly,2085,30.418
51,medium_variant,5yearly,2090,30.471
51,medium_variant,5yearly,2095,30.522
51,estimates,5yearly,Regi,Armenia
51,medium_variant,5yearly,Regi,Armenia
