country,variant,freq,year,meanageforchildbearing
598,estimates,5yearly,1950,30.354
598,estimates,5yearly,1955,30.357
598,estimates,5yearly,1960,30.36
598,estimates,5yearly,1965,30.383
598,estimates,5yearly,1970,30.35
598,estimates,5yearly,1975,30.252
598,estimates,5yearly,1980,30.118
598,estimates,5yearly,1985,29.963
598,estimates,5yearly,1990,29.898
598,estimates,5yearly,1995,29.831
598,estimates,5yearly,2000,29.758
598,estimates,5yearly,2005,29.777
598,estimates,5yearly,2010,29.796
598,medium_variant,5yearly,2015,29.814
598,medium_variant,5yearly,2020,29.829
598,medium_variant,5yearly,2025,29.843
598,medium_variant,5yearly,2030,29.854
598,medium_variant,5yearly,2035,29.865
598,medium_variant,5yearly,2040,29.875
598,medium_variant,5yearly,2045,29.887
598,medium_variant,5yearly,2050,29.9
598,medium_variant,5yearly,2055,29.915
598,medium_variant,5yearly,2060,29.932
598,medium_variant,5yearly,2065,29.952
598,medium_variant,5yearly,2070,29.977
598,medium_variant,5yearly,2075,30.004
598,medium_variant,5yearly,2080,30.035
598,medium_variant,5yearly,2085,30.069
598,medium_variant,5yearly,2090,30.106
598,medium_variant,5yearly,2095,30.146
