country,variant,freq,year,meanageforchildbearing
132,estimates,5yearly,1950,30.464
132,estimates,5yearly,1955,30.464
132,estimates,5yearly,1960,30.464
132,estimates,5yearly,1965,30.464
132,estimates,5yearly,1970,30.464
132,estimates,5yearly,1975,30.464
132,estimates,5yearly,1980,30.16
132,estimates,5yearly,1985,29.603
132,estimates,5yearly,1990,29.11
132,estimates,5yearly,1995,28.604
132,estimates,5yearly,2000,28.104
132,estimates,5yearly,2005,27.677
132,estimates,5yearly,2010,27.576
132,medium_variant,5yearly,2015,27.377
132,medium_variant,5yearly,2020,27.283
132,medium_variant,5yearly,2025,27.288
132,medium_variant,5yearly,2030,27.372
132,medium_variant,5yearly,2035,27.512
132,medium_variant,5yearly,2040,27.688
132,medium_variant,5yearly,2045,27.884
132,medium_variant,5yearly,2050,28.095
132,medium_variant,5yearly,2055,28.312
132,medium_variant,5yearly,2060,28.531
132,medium_variant,5yearly,2065,28.748
132,medium_variant,5yearly,2070,28.961
132,medium_variant,5yearly,2075,29.166
132,medium_variant,5yearly,2080,29.364
132,medium_variant,5yearly,2085,29.551
132,medium_variant,5yearly,2090,29.726
132,medium_variant,5yearly,2095,29.889
