country,variant,freq,year,meanageforchildbearing
716,estimates,5yearly,1950,29.548
716,estimates,5yearly,1955,29.547
716,estimates,5yearly,1960,29.547
716,estimates,5yearly,1965,29.547
716,estimates,5yearly,1970,29.547
716,estimates,5yearly,1975,29.547
716,estimates,5yearly,1980,29.656
716,estimates,5yearly,1985,29.656
716,estimates,5yearly,1990,29.07
716,estimates,5yearly,1995,28.568
716,estimates,5yearly,2000,28.511
716,estimates,5yearly,2005,28.084
716,estimates,5yearly,2010,27.977
716,medium_variant,5yearly,2015,27.794
716,medium_variant,5yearly,2020,27.675
716,medium_variant,5yearly,2025,27.612
716,medium_variant,5yearly,2030,27.597
716,medium_variant,5yearly,2035,27.622
716,medium_variant,5yearly,2040,27.682
716,medium_variant,5yearly,2045,27.773
716,medium_variant,5yearly,2050,27.887
716,medium_variant,5yearly,2055,28.023
716,medium_variant,5yearly,2060,28.174
716,medium_variant,5yearly,2065,28.336
716,medium_variant,5yearly,2070,28.505
716,medium_variant,5yearly,2075,28.676
716,medium_variant,5yearly,2080,28.849
716,medium_variant,5yearly,2085,29.019
716,medium_variant,5yearly,2090,29.186
716,medium_variant,5yearly,2095,29.347
716,estimates,5yearly,Regi,Zimbabwe
716,medium_variant,5yearly,Regi,Zimbabwe
