country,variant,freq,year,meanageforchildbearing
72,estimates,5yearly,1950,29.847
72,estimates,5yearly,1955,29.847
72,estimates,5yearly,1960,29.847
72,estimates,5yearly,1965,29.847
72,estimates,5yearly,1970,29.847
72,estimates,5yearly,1975,29.847
72,estimates,5yearly,1980,29.847
72,estimates,5yearly,1985,29.486
72,estimates,5yearly,1990,29.979
72,estimates,5yearly,1995,29.884
72,estimates,5yearly,2000,29.658
72,estimates,5yearly,2005,29.533
72,estimates,5yearly,2010,29.845
72,medium_variant,5yearly,2015,29.899
72,medium_variant,5yearly,2020,29.932
72,medium_variant,5yearly,2025,29.953
72,medium_variant,5yearly,2030,29.97
72,medium_variant,5yearly,2035,29.986
72,medium_variant,5yearly,2040,30.005
72,medium_variant,5yearly,2045,30.028
72,medium_variant,5yearly,2050,30.054
72,medium_variant,5yearly,2055,30.083
72,medium_variant,5yearly,2060,30.113
72,medium_variant,5yearly,2065,30.146
72,medium_variant,5yearly,2070,30.181
72,medium_variant,5yearly,2075,30.217
72,medium_variant,5yearly,2080,30.252
72,medium_variant,5yearly,2085,30.287
72,medium_variant,5yearly,2090,30.321
72,medium_variant,5yearly,2095,30.354
