country,variant,freq,year,meanageforchildbearing
764,estimates,5yearly,1950,30.803
764,estimates,5yearly,1955,30.803
764,estimates,5yearly,1960,30.799
764,estimates,5yearly,1965,30.681
764,estimates,5yearly,1970,30.218
764,estimates,5yearly,1975,29.329
764,estimates,5yearly,1980,28.312
764,estimates,5yearly,1985,27.559
764,estimates,5yearly,1990,27.152
764,estimates,5yearly,1995,27.028
764,estimates,5yearly,2000,27.054
764,estimates,5yearly,2005,27.077
764,estimates,5yearly,2010,27.2
764,medium_variant,5yearly,2015,27.385
764,medium_variant,5yearly,2020,27.75
764,medium_variant,5yearly,2025,28.108
764,medium_variant,5yearly,2030,28.456
764,medium_variant,5yearly,2035,28.78
764,medium_variant,5yearly,2040,29.081
764,medium_variant,5yearly,2045,29.355
764,medium_variant,5yearly,2050,29.6
764,medium_variant,5yearly,2055,29.818
764,medium_variant,5yearly,2060,30.007
764,medium_variant,5yearly,2065,30.165
764,medium_variant,5yearly,2070,30.294
764,medium_variant,5yearly,2075,30.393
764,medium_variant,5yearly,2080,30.463
764,medium_variant,5yearly,2085,30.508
764,medium_variant,5yearly,2090,30.529
764,medium_variant,5yearly,2095,30.534
764,estimates,5yearly,Regi,Thailand
764,medium_variant,5yearly,Regi,Thailand
