country,variant,freq,year,meanageforchildbearing
499,estimates,5yearly,1950,30.417
499,estimates,5yearly,1955,29.341
499,estimates,5yearly,1960,28.837
499,estimates,5yearly,1965,27.938
499,estimates,5yearly,1970,27.578
499,estimates,5yearly,1975,27.761
499,estimates,5yearly,1980,27.267
499,estimates,5yearly,1985,27.207
499,estimates,5yearly,1990,27.337
499,estimates,5yearly,1995,27.901
499,estimates,5yearly,2000,28.099
499,estimates,5yearly,2005,28.485
499,estimates,5yearly,2010,28.937
499,medium_variant,5yearly,2015,29.355
499,medium_variant,5yearly,2020,29.778
499,medium_variant,5yearly,2025,30.048
499,medium_variant,5yearly,2030,30.252
499,medium_variant,5yearly,2035,30.399
499,medium_variant,5yearly,2040,30.507
499,medium_variant,5yearly,2045,30.583
499,medium_variant,5yearly,2050,30.635
499,medium_variant,5yearly,2055,30.667
499,medium_variant,5yearly,2060,30.684
499,medium_variant,5yearly,2065,30.692
499,medium_variant,5yearly,2070,30.694
499,medium_variant,5yearly,2075,30.694
499,medium_variant,5yearly,2080,30.694
499,medium_variant,5yearly,2085,30.693
499,medium_variant,5yearly,2090,30.692
499,medium_variant,5yearly,2095,30.691
