country,variant,freq,year,meanageforchildbearing
275,estimates,5yearly,1950,29.923
275,estimates,5yearly,1955,29.923
275,estimates,5yearly,1960,29.923
275,estimates,5yearly,1965,29.924
275,estimates,5yearly,1970,29.925
275,estimates,5yearly,1975,29.888
275,estimates,5yearly,1980,29.968
275,estimates,5yearly,1985,29.531
275,estimates,5yearly,1990,29.058
275,estimates,5yearly,1995,28.834
275,estimates,5yearly,2000,28.937
275,estimates,5yearly,2005,28.886
275,estimates,5yearly,2010,28.886
275,medium_variant,5yearly,2015,28.866
275,medium_variant,5yearly,2020,28.856
275,medium_variant,5yearly,2025,28.856
275,medium_variant,5yearly,2030,28.866
275,medium_variant,5yearly,2035,28.886
275,medium_variant,5yearly,2040,28.916
275,medium_variant,5yearly,2045,28.954
275,medium_variant,5yearly,2050,29.002
275,medium_variant,5yearly,2055,29.058
275,medium_variant,5yearly,2060,29.121
275,medium_variant,5yearly,2065,29.191
275,medium_variant,5yearly,2070,29.267
275,medium_variant,5yearly,2075,29.348
275,medium_variant,5yearly,2080,29.433
275,medium_variant,5yearly,2085,29.522
275,medium_variant,5yearly,2090,29.613
275,medium_variant,5yearly,2095,29.705
275,estimates,5yearly,Regi,State of Palestine
275,medium_variant,5yearly,Regi,State of Palestine
