region,variant,gender,freq,year,under60mortalityper1000livebirth
1501,estimates,female,5yearly,1950,638.47101851085
1501,estimates,male,5yearly,1950,655.270760389888
1501,estimates,female,5yearly,1955,590.421379337317
1501,estimates,male,5yearly,1955,605.316346604053
1501,estimates,female,5yearly,1960,543.750128789663
1501,estimates,male,5yearly,1960,559.332533705279
1501,estimates,female,5yearly,1965,492.953034875411
1501,estimates,male,5yearly,1965,514.120895351888
1501,estimates,female,5yearly,1970,449.52307117703
1501,estimates,male,5yearly,1970,479.719793554214
1501,estimates,female,5yearly,1975,403.910625626676
1501,estimates,male,5yearly,1975,444.461780529436
1501,estimates,female,5yearly,1980,365.39509176319
1501,estimates,male,5yearly,1980,409.836702750689
1501,estimates,female,5yearly,1985,341.658467244392
1501,estimates,male,5yearly,1985,387.979167692609
1501,estimates,female,5yearly,1990,316.283188252904
1501,estimates,male,5yearly,1990,369.348701872505
1501,estimates,female,5yearly,1995,295.982144426807
1501,estimates,male,5yearly,1995,352.559306207041
1501,estimates,female,5yearly,2000,274.544341980169
1501,estimates,male,5yearly,2000,333.087380049784
1501,estimates,female,5yearly,2005,245.213979229026
1501,estimates,male,5yearly,2005,306.799786793403
1501,estimates,female,5yearly,2010,215.358709126075
1501,estimates,male,5yearly,2010,284.899654693519
1501,medium_variant,female,5yearly,2015,197.309030441804
1501,medium_variant,male,5yearly,2015,267.627309608309
1501,medium_variant,female,5yearly,2020,181.523464580285
1501,medium_variant,male,5yearly,2020,251.694547258728
1501,medium_variant,female,5yearly,2025,166.997044494567
1501,medium_variant,male,5yearly,2025,237.551536323927
1501,medium_variant,female,5yearly,2030,154.012966063394
1501,medium_variant,male,5yearly,2030,224.959476562032
1501,medium_variant,female,5yearly,2035,142.333919772517
1501,medium_variant,male,5yearly,2035,213.161693884981
1501,medium_variant,female,5yearly,2040,132.623205652091
1501,medium_variant,male,5yearly,2040,201.918549222574
1501,medium_variant,female,5yearly,2045,123.738621968629
1501,medium_variant,male,5yearly,2045,191.254988290133
1501,medium_variant,female,5yearly,2050,115.526359843714
1501,medium_variant,male,5yearly,2050,181.071994585399
1501,medium_variant,female,5yearly,2055,108.130849088402
1501,medium_variant,male,5yearly,2055,171.597122823831
1501,medium_variant,female,5yearly,2060,101.316544270531
1501,medium_variant,male,5yearly,2060,162.089300247367
1501,medium_variant,female,5yearly,2065,95.023868672564
1501,medium_variant,male,5yearly,2065,153.250150448894
1501,medium_variant,female,5yearly,2070,89.4751945608403
1501,medium_variant,male,5yearly,2070,144.7363542454
1501,medium_variant,female,5yearly,2075,84.2059595346608
1501,medium_variant,male,5yearly,2075,136.457965555528
1501,medium_variant,female,5yearly,2080,79.411221196526
1501,medium_variant,male,5yearly,2080,128.596152051285
1501,medium_variant,female,5yearly,2085,75.0853046694658
1501,medium_variant,male,5yearly,2085,121.029822961785
1501,medium_variant,female,5yearly,2090,71.0289845636927
1501,medium_variant,male,5yearly,2090,113.683248766978
1501,medium_variant,female,5yearly,2095,66.9804077260557
1501,medium_variant,male,5yearly,2095,106.440556389719
1501,estimates,female,5yearly,Regi,Lower-middle-income countries
1501,estimates,male,5yearly,Regi,Lower-middle-income countries
1501,medium_variant,female,5yearly,Regi,Lower-middle-income countries
1501,medium_variant,male,5yearly,Regi,Lower-middle-income countries
