country,variant,freq,year,populationgrowthrate
686,estimates,5yearly,1950,2.432
686,estimates,5yearly,1955,2.654
686,estimates,5yearly,1960,2.769
686,estimates,5yearly,1965,2.9
686,estimates,5yearly,1970,2.958
686,estimates,5yearly,1975,2.497
686,estimates,5yearly,1980,2.96
686,estimates,5yearly,1985,3.057
686,estimates,5yearly,1990,2.927
686,estimates,5yearly,1995,2.445
686,estimates,5yearly,2000,2.591
686,estimates,5yearly,2005,2.76
686,estimates,5yearly,2010,2.961
686,constant_fertility,5yearly,2015,3.014
686,constant_mortality,5yearly,2015,2.69
686,high_variant,5yearly,2015,2.935
686,instant_replacement,5yearly,2015,1.054
686,low_variant,5yearly,2015,2.6
686,medium_variant,5yearly,2015,2.768
686,momentum,5yearly,2015,1.156
686,no_change,5yearly,2015,2.933
686,zero_migration,5yearly,2015,2.895
686,constant_fertility,5yearly,2020,3.019
686,constant_mortality,5yearly,2020,2.46
686,high_variant,5yearly,2020,2.833
686,instant_replacement,5yearly,2020,1.177
686,low_variant,5yearly,2020,2.337
686,medium_variant,5yearly,2020,2.589
686,momentum,5yearly,2020,1.25
686,no_change,5yearly,2020,2.885
686,zero_migration,5yearly,2020,2.701
686,constant_fertility,5yearly,2025,3.016
686,constant_mortality,5yearly,2025,2.283
686,high_variant,5yearly,2025,2.73
686,instant_replacement,5yearly,2025,1.289
686,low_variant,5yearly,2025,2.145
686,medium_variant,5yearly,2025,2.446
686,momentum,5yearly,2025,1.33
686,no_change,5yearly,2025,2.847
686,zero_migration,5yearly,2025,2.542
686,constant_fertility,5yearly,2030,3.022
686,constant_mortality,5yearly,2030,2.144
686,high_variant,5yearly,2030,2.599
686,instant_replacement,5yearly,2030,1.351
686,low_variant,5yearly,2030,2.047
686,medium_variant,5yearly,2030,2.334
686,momentum,5yearly,2030,1.357
686,no_change,5yearly,2030,2.827
686,zero_migration,5yearly,2030,2.412
686,constant_fertility,5yearly,2035,3.033
686,constant_mortality,5yearly,2035,2.011
686,high_variant,5yearly,2035,2.495
686,instant_replacement,5yearly,2035,1.279
686,low_variant,5yearly,2035,1.93
686,medium_variant,5yearly,2035,2.224
686,momentum,5yearly,2035,1.253
686,no_change,5yearly,2035,2.815
686,zero_migration,5yearly,2035,2.287
686,constant_fertility,5yearly,2040,3.043
686,constant_mortality,5yearly,2040,1.861
686,high_variant,5yearly,2040,2.397
686,instant_replacement,5yearly,2040,1.087
686,low_variant,5yearly,2040,1.779
686,medium_variant,5yearly,2040,2.099
686,momentum,5yearly,2040,1.027
686,no_change,5yearly,2040,2.802
686,zero_migration,5yearly,2040,2.151
686,constant_fertility,5yearly,2045,3.042
686,constant_mortality,5yearly,2045,1.697
686,high_variant,5yearly,2045,2.291
686,instant_replacement,5yearly,2045,0.863
686,low_variant,5yearly,2045,1.601
686,medium_variant,5yearly,2045,1.957
686,momentum,5yearly,2045,0.776
686,no_change,5yearly,2045,2.784
686,zero_migration,5yearly,2045,2.002
686,constant_fertility,5yearly,2050,3.039
686,constant_mortality,5yearly,2050,1.53
686,high_variant,5yearly,2050,2.177
686,instant_replacement,5yearly,2050,0.684
686,low_variant,5yearly,2050,1.421
686,medium_variant,5yearly,2050,1.811
686,momentum,5yearly,2050,0.568
686,no_change,5yearly,2050,2.766
686,zero_migration,5yearly,2050,1.849
686,constant_fertility,5yearly,2055,3.037
