agebroad,gender,percentagetotalpopulation,continent,variant,year
"Region, subregion, country or area *",female,LATIN AMERICA AND THE CARIBBEAN,904,estimates,1950
0_1,female,6.825,904,estimates,1950
0_4,female,15.789,904,estimates,1950
0_14,female,39.752,904,estimates,1950
0_17,female,45.83,904,estimates,1950
0_19,female,49.68,904,estimates,1950
0_24,female,58.68,904,estimates,1950
3_4,female,5.828,904,estimates,1950
3_5,female,8.557,904,estimates,1950
3_6,female,11.184,904,estimates,1950
4_5,female,5.575,904,estimates,1950
4_6,female,8.202,904,estimates,1950
5_14,female,23.963,904,estimates,1950
5_10,female,15.097,904,estimates,1950
5_11,female,17.392,904,estimates,1950
6_9,female,10.027,904,estimates,1950
6_10,female,12.368,904,estimates,1950
6_11,female,14.664,904,estimates,1950
6_12,female,16.911,904,estimates,1950
7_10,female,9.741,904,estimates,1950
7_12,female,14.284,904,estimates,1950
11_16,female,12.966,904,estimates,1950
11_17,female,14.943,904,estimates,1950
11_18,female,16.884,904,estimates,1950
12_14,female,6.57,904,estimates,1950
12_16,female,10.67,904,estimates,1950
12_17,female,12.648,904,estimates,1950
12_18,female,14.589,904,estimates,1950
13_17,female,10.401,904,estimates,1950
13_18,female,12.341,904,estimates,1950
13_19,female,14.251,904,estimates,1950
15_17,female,6.078,904,estimates,1950
18_23,female,11.149,904,estimates,1950
15_24,female,18.928,904,estimates,1950
15_49,female,47.969,904,estimates,1950
15_59,female,54.233,904,estimates,1950
15_64,female,56.41,904,estimates,1950
20_64,female,46.482,904,estimates,1950
20_69,female,48.069,904,estimates,1950
25_49,female,29.041,904,estimates,1950
25_64,female,37.482,904,estimates,1950
25_69,female,39.069,904,estimates,1950
15plus,female,60.248,904,estimates,1950
16plus,female,58.171,904,estimates,1950
17plus,female,56.148,904,estimates,1950
18plus,female,54.17,904,estimates,1950
20plus,female,50.32,904,estimates,1950
21plus,female,48.441,904,estimates,1950
25plus,female,41.32,904,estimates,1950
50plus,female,12.279,904,estimates,1950
60plus,female,6.015,904,estimates,1950
65plus,female,3.838,904,estimates,1950
70plus,female,2.251,904,estimates,1950
75plus,female,1.162,904,estimates,1950
80plus,female,0.516,904,estimates,1950
85plus,female,0.231,904,estimates,1950
90plus,female,0.093,904,estimates,1950
total,female,100,904,estimates,1950
"Region, subregion, country or area *",male,LATIN AMERICA AND THE CARIBBEAN,904,estimates,1950
0_1,male,7.054,904,estimates,1950
0_4,male,16.267,904,estimates,1950
0_14,male,40.754,904,estimates,1950
0_17,male,46.858,904,estimates,1950
0_19,male,50.695,904,estimates,1950
0_24,male,59.633,904,estimates,1950
3_4,male,5.984,904,estimates,1950
3_5,male,8.781,904,estimates,1950
3_6,male,11.471,904,estimates,1950
4_5,male,5.717,904,estimates,1950
4_6,male,8.407,904,estimates,1950
5_14,male,24.487,904,estimates,1950
5_10,male,15.45,904,estimates,1950
5_11,male,17.798,904,estimates,1950
6_9,male,10.26,904,estimates,1950
6_10,male,12.654,904,estimates,1950
6_11,male,15.002,904,estimates,1950
6_12,male,17.298,904,estimates,1950
7_10,male,9.964,904,estimates,1950
7_12,male,14.608,904,estimates,1950
11_16,male,13.163,904,estimates,1950
11_17,male,15.14,904,estimates,1950
11_18,male,17.076,904,estimates,1950
12_14,male,6.689,904,estimates,1950
12_16,male,10.816,904,estimates,1950
