continent,variant,freq,year,infantmortalityper1000livebirth
909,estimates,5yearly,1950,58.2245732355417
909,estimates,5yearly,1955,52.3018368610358
909,estimates,5yearly,1960,48.412683378523
909,estimates,5yearly,1965,43.980149277094
909,estimates,5yearly,1970,39.9625240977876
909,estimates,5yearly,1975,37.3914612285614
909,estimates,5yearly,1980,31.7700375603072
909,estimates,5yearly,1985,29.8620151066789
909,estimates,5yearly,1990,26.7378361862667
909,estimates,5yearly,1995,26.3091616658845
909,estimates,5yearly,2000,25.2210723304649
909,estimates,5yearly,2005,22.4053130447658
909,estimates,5yearly,2010,20.8009599813187
909,medium_variant,5yearly,2015,18.9006157437331
909,medium_variant,5yearly,2020,17.501917460092
909,medium_variant,5yearly,2025,16.3467807725927
909,medium_variant,5yearly,2030,15.068624305282
909,medium_variant,5yearly,2035,13.7647997906862
909,medium_variant,5yearly,2040,12.4486418405658
909,medium_variant,5yearly,2045,11.3020362714347
909,medium_variant,5yearly,2050,10.3462169433607
909,medium_variant,5yearly,2055,9.51393282428884
909,medium_variant,5yearly,2060,8.68563663778165
909,medium_variant,5yearly,2065,7.90652681626572
909,medium_variant,5yearly,2070,7.1523395225031
909,medium_variant,5yearly,2075,6.4348374656103
909,medium_variant,5yearly,2080,5.87400390881785
909,medium_variant,5yearly,2085,5.36791187812983
909,medium_variant,5yearly,2090,4.90020635889822
909,medium_variant,5yearly,2095,4.4457526738741
