region,variant,freq,year,birthper1000population
1500,estimates,5yearly,1950,46.943
1500,estimates,5yearly,1955,47.845
1500,estimates,5yearly,1960,47.138
1500,estimates,5yearly,1965,47.312
1500,estimates,5yearly,1970,46.823
1500,estimates,5yearly,1975,45.94
1500,estimates,5yearly,1980,45.821
1500,estimates,5yearly,1985,44.9
1500,estimates,5yearly,1990,43.868
1500,estimates,5yearly,1995,42.84
1500,estimates,5yearly,2000,41.187
1500,estimates,5yearly,2005,39.345
1500,estimates,5yearly,2010,37.132
1500,constant_fertility,5yearly,2015,37.811
1500,constant_mortality,5yearly,2015,35.072
1500,high_variant,5yearly,2015,36.762
1500,instant_replacement,5yearly,2015,18.271
1500,low_variant,5yearly,2015,33.288
1500,medium_variant,5yearly,2015,35.033
1500,momentum,5yearly,2015,18.758
1500,no_change,5yearly,2015,37.856
1500,zero_migration,5yearly,2015,35.057
1500,constant_fertility,5yearly,2020,38.092
1500,constant_mortality,5yearly,2020,33.193
1500,high_variant,5yearly,2020,35.605
1500,instant_replacement,5yearly,2020,19.668
1500,low_variant,5yearly,2020,30.419
1500,medium_variant,5yearly,2020,33.051
1500,momentum,5yearly,2020,20.602
1500,no_change,5yearly,2020,38.266
1500,zero_migration,5yearly,2020,33.092
1500,constant_fertility,5yearly,2025,37.918
1500,constant_mortality,5yearly,2025,31.477
1500,high_variant,5yearly,2025,34.136
1500,instant_replacement,5yearly,2025,20.866
1500,low_variant,5yearly,2025,28.087
1500,medium_variant,5yearly,2025,31.2
1500,momentum,5yearly,2025,22.193
1500,no_change,5yearly,2025,38.278
1500,zero_migration,5yearly,2025,31.22
1500,constant_fertility,5yearly,2030,37.493
1500,constant_mortality,5yearly,2030,29.825
1500,high_variant,5yearly,2030,32.107
1500,instant_replacement,5yearly,2030,21.108
1500,low_variant,5yearly,2030,26.532
1500,medium_variant,5yearly,2030,29.429
1500,momentum,5yearly,2030,22.734
1500,no_change,5yearly,2030,38.029
1500,zero_migration,5yearly,2030,29.414
1500,constant_fertility,5yearly,2035,37.239
1500,constant_mortality,5yearly,2035,28.169
1500,high_variant,5yearly,2035,30.426
1500,instant_replacement,5yearly,2035,19.754
1500,low_variant,5yearly,2035,24.786
1500,medium_variant,5yearly,2035,27.711
1500,momentum,5yearly,2035,21.531
1500,no_change,5yearly,2035,37.885
1500,zero_migration,5yearly,2035,27.672
1500,constant_fertility,5yearly,2040,37.288
1500,constant_mortality,5yearly,2040,26.542
1500,high_variant,5yearly,2040,29.072
1500,instant_replacement,5yearly,2040,17.523
1500,low_variant,5yearly,2040,22.905
1500,medium_variant,5yearly,2040,26.074
1500,momentum,5yearly,2040,19.365
1500,no_change,5yearly,2040,37.993
1500,zero_migration,5yearly,2040,26.027
1500,constant_fertility,5yearly,2045,37.47
1500,constant_mortality,5yearly,2045,24.989
1500,high_variant,5yearly,2045,27.859
1500,instant_replacement,5yearly,2045,15.735
1500,low_variant,5yearly,2045,21.053
1500,medium_variant,5yearly,2045,24.525
1500,momentum,5yearly,2045,17.687
1500,no_change,5yearly,2045,38.223
1500,zero_migration,5yearly,2045,24.482
1500,constant_fertility,5yearly,2050,37.635
1500,constant_mortality,5yearly,2050,23.572
1500,high_variant,5yearly,2050,26.658
1500,instant_replacement,5yearly,2050,14.895
1500,low_variant,5yearly,2050,19.408
1500,medium_variant,5yearly,2050,23.103
1500,momentum,5yearly,2050,17.055
1500,no_change,5yearly,2050,38.445
1500,zero_migration,5yearly,2050,23.066
1500,constant_fertility,5yearly,2055,37.745
1500,constant_mortality,5yearly,2055,22.29
1500,high_variant,5yearly,2055,25.432
1500,instant_replacement,5yearly,2055,14.737
1500,low_variant,5yearly,2055,18.003
1500,medium_variant,5yearly,2055,21.799
1500,momentum,5yearly,2055,17.151
1500,no_change,5yearly,2055,38.617
1500,zero_migration,5yearly,2055,21.763
1500,constant_fertility,5yearly,2060,37.837
1500,constant_mortality,5yearly,2060,21.14
1500,high_variant,5yearly,2060,24.264
1500,instant_replacement,5yearly,2060,14.702
1500,low_variant,5yearly,2060,16.79
1500,medium_variant,5yearly,2060,20.616
1500,momentum,5yearly,2060,17.34
1500,no_change,5yearly,2060,38.769
1500,zero_migration,5yearly,2060,20.579
1500,constant_fertility,5yearly,2065,37.952
1500,constant_mortality,5yearly,2065,20.079
1500,high_variant,5yearly,2065,23.207
1500,instant_replacement,5yearly,2065,14.337
1500,low_variant,5yearly,2065,15.661
1500,medium_variant,5yearly,2065,19.52
1500,momentum,5yearly,2065,17.129
1500,no_change,5yearly,2065,38.936
1500,zero_migration,5yearly,2065,19.483
1500,constant_fertility,5yearly,2070,38.097
1500,constant_mortality,5yearly,2070,19.103
1500,high_variant,5yearly,2070,22.276
1500,instant_replacement,5yearly,2070,13.747
1500,low_variant,5yearly,2070,14.589
1500,medium_variant,5yearly,2070,18.506
1500,momentum,5yearly,2070,16.662
1500,no_change,5yearly,2070,39.128
1500,zero_migration,5yearly,2070,18.472
1500,constant_fertility,5yearly,2075,38.251
1500,constant_mortality,5yearly,2075,18.212
1500,high_variant,5yearly,2075,21.434
1500,instant_replacement,5yearly,2075,13.24
1500,low_variant,5yearly,2075,13.586
1500,medium_variant,5yearly,2075,17.57
1500,momentum,5yearly,2075,16.304
1500,no_change,5yearly,2075,39.329
1500,zero_migration,5yearly,2075,17.542
1500,constant_fertility,5yearly,2080,38.392
1500,constant_mortality,5yearly,2080,17.408
1500,high_variant,5yearly,2080,20.638
1500,instant_replacement,5yearly,2080,13.014
1500,low_variant,5yearly,2080,12.678
1500,medium_variant,5yearly,2080,16.711
1500,momentum,5yearly,2080,16.273
1500,no_change,5yearly,2080,39.518
1500,zero_migration,5yearly,2080,16.688
1500,constant_fertility,5yearly,2085,38.515
1500,constant_mortality,5yearly,2085,16.689
1500,high_variant,5yearly,2085,19.88
1500,instant_replacement,5yearly,2085,13.019
1500,low_variant,5yearly,2085,11.876
1500,medium_variant,5yearly,2085,15.929
1500,momentum,5yearly,2085,16.485
1500,no_change,5yearly,2085,39.688
1500,zero_migration,5yearly,2085,15.91
1500,constant_fertility,5yearly,2090,38.626
1500,constant_mortality,5yearly,2090,16.049
1500,high_variant,5yearly,2090,19.174
1500,instant_replacement,5yearly,2090,13.071
1500,low_variant,5yearly,2090,11.167
1500,medium_variant,5yearly,2090,15.218
1500,momentum,5yearly,2090,16.696
1500,no_change,5yearly,2090,39.845
1500,zero_migration,5yearly,2090,15.202
1500,constant_fertility,5yearly,2095,38.733
1500,constant_mortality,5yearly,2095,15.465
1500,high_variant,5yearly,2095,18.526
1500,instant_replacement,5yearly,2095,13.017
1500,low_variant,5yearly,2095,10.518
1500,medium_variant,5yearly,2095,14.563
1500,momentum,5yearly,2095,16.733
1500,no_change,5yearly,2095,39.998
1500,zero_migration,5yearly,2095,14.548
1500,constant_fertility,5yearly,Regi,Low-income countries
1500,constant_mortality,5yearly,Regi,Low-income countries
1500,estimates,5yearly,Regi,Low-income countries
1500,high_variant,5yearly,Regi,Low-income countries
1500,instant_replacement,5yearly,Regi,Low-income countries
1500,low_variant,5yearly,Regi,Low-income countries
1500,medium_variant,5yearly,Regi,Low-income countries
1500,momentum,5yearly,Regi,Low-income countries
1500,no_change,5yearly,Regi,Low-income countries
1500,zero_migration,5yearly,Regi,Low-income countries
