region,variant,freq,year,birthper1000population
947,estimates,5yearly,1950,47.725
947,estimates,5yearly,1955,47.565
947,estimates,5yearly,1960,47.446
947,estimates,5yearly,1965,47.027
947,estimates,5yearly,1970,47.175
947,estimates,5yearly,1975,46.97
947,estimates,5yearly,1980,46.246
947,estimates,5yearly,1985,44.907
947,estimates,5yearly,1990,43.33
947,estimates,5yearly,1995,42.356
947,estimates,5yearly,2000,41.19
947,estimates,5yearly,2005,39.795
947,estimates,5yearly,2010,37.938
947,constant_fertility,5yearly,2015,38.181
947,constant_mortality,5yearly,2015,35.788
947,high_variant,5yearly,2015,37.456
947,instant_replacement,5yearly,2015,18.585
947,low_variant,5yearly,2015,34.011
947,medium_variant,5yearly,2015,35.741
947,momentum,5yearly,2015,19.115
947,no_change,5yearly,2015,38.234
947,zero_migration,5yearly,2015,35.752
947,constant_fertility,5yearly,2020,38.198
947,constant_mortality,5yearly,2020,33.902
947,high_variant,5yearly,2020,36.248
947,instant_replacement,5yearly,2020,19.835
947,low_variant,5yearly,2020,31.156
947,medium_variant,5yearly,2020,33.74
947,momentum,5yearly,2020,20.842
947,no_change,5yearly,2020,38.392
947,zero_migration,5yearly,2020,33.76
947,constant_fertility,5yearly,2025,37.97
947,constant_mortality,5yearly,2025,32.248
947,high_variant,5yearly,2025,34.814
947,instant_replacement,5yearly,2025,20.999
947,low_variant,5yearly,2025,28.901
947,medium_variant,5yearly,2025,31.942
947,momentum,5yearly,2025,22.453
947,no_change,5yearly,2025,38.356
947,zero_migration,5yearly,2025,31.953
947,constant_fertility,5yearly,2030,37.616
947,constant_mortality,5yearly,2030,30.683
947,high_variant,5yearly,2030,32.879
947,instant_replacement,5yearly,2030,21.288
947,low_variant,5yearly,2030,27.42
947,medium_variant,5yearly,2030,30.254
947,momentum,5yearly,2030,23.099
947,no_change,5yearly,2030,38.179
947,zero_migration,5yearly,2030,30.251
947,constant_fertility,5yearly,2035,37.395
947,constant_mortality,5yearly,2035,29.083
947,high_variant,5yearly,2035,31.266
947,instant_replacement,5yearly,2035,20.005
947,low_variant,5yearly,2035,25.714
947,medium_variant,5yearly,2035,28.591
947,momentum,5yearly,2035,22.008
947,no_change,5yearly,2035,38.071
947,zero_migration,5yearly,2035,28.578
947,constant_fertility,5yearly,2040,37.376
947,constant_mortality,5yearly,2040,27.464
947,high_variant,5yearly,2040,29.915
947,instant_replacement,5yearly,2040,17.877
947,low_variant,5yearly,2040,23.838
947,medium_variant,5yearly,2040,26.961
947,momentum,5yearly,2040,19.967
947,no_change,5yearly,2040,38.112
947,zero_migration,5yearly,2040,26.946
947,constant_fertility,5yearly,2045,37.454
