continent,year,variant,agebroad,sexratio_maleper100female
904,1950,estimates,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1950,estimates,total,99.9013863508196
904,1950,estimates,0_1,103.24577507232
904,1950,estimates,0_4,102.923670012333
904,1950,estimates,0_14,102.419927098739
904,1950,estimates,0_17,102.141937081179
904,1950,estimates,0_19,101.94258416767
904,1950,estimates,0_24,101.524171685237
904,1950,estimates,3_4,102.581187674078
904,1950,estimates,3_5,102.516993499126
904,1950,estimates,3_6,102.464643459047
904,1950,estimates,4_5,102.441177606841
904,1950,estimates,4_6,102.394082129768
904,1950,estimates,5_10,102.238992405209
904,1950,estimates,5_11,102.231555867282
904,1950,estimates,5_14,102.08800106477
904,1950,estimates,6_9,102.221931357121
904,1950,estimates,6_10,102.207903312338
904,1950,estimates,6_11,102.203949460388
904,1950,estimates,6_12,102.187862712932
904,1950,estimates,7_10,102.184645304632
904,1950,estimates,7_12,102.16831576611
904,1950,estimates,11_16,101.423326405163
904,1950,estimates,11_17,101.217895582047
904,1950,estimates,11_18,101.035109270256
904,1950,estimates,12_14,101.707988305886
904,1950,estimates,12_16,101.259984759251
904,1950,estimates,12_17,101.042810704763
904,1950,estimates,12_18,100.854557476285
904,1950,estimates,13_17,100.818055082717
904,1950,estimates,13_18,100.630864854441
904,1950,estimates,13_19,100.480798854035
904,1950,estimates,15plus,98.2396367318667
904,1950,estimates,15_17,100.32374696761
904,1950,estimates,15_24,99.6429266770179
904,1950,estimates,15_49,99.5867389969227
904,1950,estimates,15_59,99.3556990186786
904,1950,estimates,15_64,99.120036276696
904,1950,estimates,16plus,98.1485836552869
904,1950,estimates,17plus,98.0714940049935
904,1950,estimates,18plus,98.0058016300596
904,1950,estimates,18_23,99.3537483455743
904,1950,estimates,20plus,97.8861184219964
904,1950,estimates,20_64,98.9253806294209
904,1950,estimates,20_69,98.6512283251457
904,1950,estimates,21plus,97.8281341441026
904,1950,estimates,25plus,97.5968161430469
904,1950,estimates,25_49,99.5501173780473
904,1950,estimates,25_64,98.8559857929703
904,1950,estimates,25_69,98.5215016958985
904,1950,estimates,50plus,92.9772640600872
904,1950,estimates,60plus,88.1760913973057
904,1950,estimates,65plus,85.2986307182408
904,1950,estimates,70plus,81.5455937863294
904,1950,estimates,75plus,77.2227829202443
904,1950,estimates,80plus,72.7711334913293
904,1950,estimates,85plus,68.5009292821424
904,1950,estimates,90plus,64.4126294260514
904,1955,estimates,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1955,estimates,total,99.8786372352428
904,1955,estimates,0_1,102.384036556497
904,1955,estimates,0_4,102.470660440557
904,1955,estimates,0_14,102.381979950986
904,1955,estimates,0_17,102.299605731011
904,1955,estimates,0_19,102.201346689435
904,1955,estimates,0_24,101.801593293504
904,1955,estimates,3_4,102.559731668673
904,1955,estimates,3_5,102.567507507728
904,1955,estimates,3_6,102.568499450476
904,1955,estimates,4_5,102.579580652278
904,1955,estimates,4_6,102.577102785686
904,1955,estimates,5_10,102.487308122822
904,1955,estimates,5_11,102.446133167466
904,1955,estimates,5_14,102.320240074468
904,1955,estimates,6_9,102.502080741349
904,1955,estimates,6_10,102.465314378824
904,1955,estimates,6_11,102.419569795816
904,1955,estimates,6_12,102.371058380812
904,1955,estimates,7_10,102.43589353133
904,1955,estimates,7_12,102.332846794541
904,1955,estimates,11_16,101.952573629353
904,1955,estimates,11_17,101.904689252803
904,1955,estimates,11_18,101.825901356986
904,1955,estimates,12_14,101.972230497737
904,1955,estimates,12_16,101.906524411836
904,1955,estimates,12_17,101.857099760141
904,1955,estimates,12_18,101.772112666834
904,1955,estimates,13_17,101.816989848453
904,1955,estimates,13_18,101.722803456771
904,1955,estimates,13_19,101.588448030655
904,1955,estimates,15plus,98.1506482599559
904,1955,estimates,15_17,101.73309355789
904,1955,estimates,15_24,100.496396084223
904,1955,estimates,15_49,99.4824444042501
904,1955,estimates,15_59,99.2825106121816
904,1955,estimates,15_64,99.0653425424267
904,1955,estimates,16plus,98.0202830152898
904,1955,estimates,17plus,97.8856429078257
904,1955,estimates,18plus,97.7509629093091
904,1955,estimates,18_23,100.040665070736
904,1955,estimates,20plus,97.5096669549391
904,1955,estimates,20_64,98.5639189209604
904,1955,estimates,20_69,98.2539229049203
904,1955,estimates,21plus,97.4090497043342
904,1955,estimates,25plus,97.1117424576896
904,1955,estimates,25_49,98.8408151642026
904,1955,estimates,25_64,98.3661713810393
904,1955,estimates,25_69,97.9965210608229
904,1955,estimates,50plus,93.0794085312022
904,1955,estimates,60plus,88.1217826196549
904,1955,estimates,65plus,84.9499937670967
904,1955,estimates,70plus,81.5487008099097
904,1955,estimates,75plus,77.020335887177
904,1955,estimates,80plus,71.8056440404746
904,1955,estimates,85plus,67.4333725080844
904,1955,estimates,90plus,62.1816709150249
904,1960,estimates,"Region, subregion, country or area *",LATIN AMERICA AND THE CARIBBEAN
904,1960,estimates,total,99.8500075405783
904,1960,estimates,0_1,102.855161975848
904,1960,estimates,0_4,102.524192167115
904,1960,estimates,0_14,102.325658790375
904,1960,estimates,0_17,102.254745785275
904,1960,estimates,0_19,102.188738740689
904,1960,estimates,0_24,101.97902275284
904,1960,estimates,3_4,102.203859560359
904,1960,estimates,3_5,102.159615930744
904,1960,estimates,3_6,102.13098620648
904,1960,estimates,4_5,102.103911814626
904,1960,estimates,4_6,102.082945475116
904,1960,estimates,5_10,102.105982660355
904,1960,estimates,5_11,102.143065978115
904,1960,estimates,5_14,102.194859649948
904,1960,estimates,6_9,102.082854957645
904,1960,estimates,6_10,102.114904329411
904,1960,estimates,6_11,102.157779750061
904,1960,estimates,6_12,102.196556520058
904,1960,estimates,7_10,102.136057802256
904,1960,estimates,7_12,102.227047049851
904,1960,estimates,11_16,102.203667881899
904,1960,estimates,11_17,102.11558409362
904,1960,estimates,11_18,102.032801035822
