country,variant,freq,year,netmigrationrateper1000pop
188,estimates,5yearly,1950,0.945
188,estimates,5yearly,1955,1.164
188,estimates,5yearly,1960,1.082
188,estimates,5yearly,1965,0.911
188,estimates,5yearly,1970,1.281
188,estimates,5yearly,1975,1.553
188,estimates,5yearly,1980,1.475
188,estimates,5yearly,1985,1.196
188,estimates,5yearly,1990,4.19
188,estimates,5yearly,1995,4.816
188,estimates,5yearly,2000,2.045
188,estimates,5yearly,2005,1.38
188,estimates,5yearly,2010,0.841
188,medium_variant,5yearly,2015,0.665
188,medium_variant,5yearly,2020,0.524
188,medium_variant,5yearly,2025,0.412
188,medium_variant,5yearly,2030,0.32
188,medium_variant,5yearly,2035,0.313
188,medium_variant,5yearly,2040,0.308
188,medium_variant,5yearly,2045,0.305
188,medium_variant,5yearly,2050,0.288
188,medium_variant,5yearly,2055,0.273
188,medium_variant,5yearly,2060,0.26
188,medium_variant,5yearly,2065,0.247
188,medium_variant,5yearly,2070,0.234
188,medium_variant,5yearly,2075,0.222
188,medium_variant,5yearly,2080,0.211
188,medium_variant,5yearly,2085,0.198
188,medium_variant,5yearly,2090,0.186
188,medium_variant,5yearly,2095,0.173
