country,variant,freq,year,netmigrationrateper1000pop
768,estimates,5yearly,1950,-6.541
768,estimates,5yearly,1955,-7.509
768,estimates,5yearly,1960,-9.472
768,estimates,5yearly,1965,14.531
768,estimates,5yearly,1970,-4.419
768,estimates,5yearly,1975,-7.795
768,estimates,5yearly,1980,3.348
768,estimates,5yearly,1985,-1.136
768,estimates,5yearly,1990,-4.714
768,estimates,5yearly,1995,3.462
768,estimates,5yearly,2000,-0.375
768,estimates,5yearly,2005,-0.328
768,estimates,5yearly,2010,-0.287
768,medium_variant,5yearly,2015,-0.253
768,medium_variant,5yearly,2020,-0.225
768,medium_variant,5yearly,2025,-0.201
768,medium_variant,5yearly,2030,-0.18
768,medium_variant,5yearly,2035,-0.163
768,medium_variant,5yearly,2040,-0.148
768,medium_variant,5yearly,2045,-0.136
768,medium_variant,5yearly,2050,-0.119
768,medium_variant,5yearly,2055,-0.105
768,medium_variant,5yearly,2060,-0.093
768,medium_variant,5yearly,2065,-0.082
768,medium_variant,5yearly,2070,-0.073
768,medium_variant,5yearly,2075,-0.065
768,medium_variant,5yearly,2080,-0.058
768,medium_variant,5yearly,2085,-0.051
768,medium_variant,5yearly,2090,-0.045
768,medium_variant,5yearly,2095,-0.04
768,estimates,5yearly,Regi,Togo
768,medium_variant,5yearly,Regi,Togo
