country,variant,freq,year,netmigrationrateper1000pop
516,estimates,5yearly,1950,0.0
516,estimates,5yearly,1955,0.0
516,estimates,5yearly,1960,0.0
516,estimates,5yearly,1965,-0.238
516,estimates,5yearly,1970,-0.671
516,estimates,5yearly,1975,-9.301
516,estimates,5yearly,1980,-5.394
516,estimates,5yearly,1985,11.672
516,estimates,5yearly,1990,3.061
516,estimates,5yearly,1995,3.994
516,estimates,5yearly,2000,-5.087
516,estimates,5yearly,2005,-4.756
516,estimates,5yearly,2010,-0.119
516,medium_variant,5yearly,2015,-0.175
516,medium_variant,5yearly,2020,-0.158
516,medium_variant,5yearly,2025,0.0
516,medium_variant,5yearly,2030,0.0
516,medium_variant,5yearly,2035,0.0
516,medium_variant,5yearly,2040,0.0
516,medium_variant,5yearly,2045,0.0
516,medium_variant,5yearly,2050,0.0
516,medium_variant,5yearly,2055,0.0
516,medium_variant,5yearly,2060,0.0
516,medium_variant,5yearly,2065,0.0
516,medium_variant,5yearly,2070,0.0
516,medium_variant,5yearly,2075,0.0
516,medium_variant,5yearly,2080,0.0
516,medium_variant,5yearly,2085,0.0
516,medium_variant,5yearly,2090,0.0
516,medium_variant,5yearly,2095,0.0
516,estimates,5yearly,Regi,Namibia
516,medium_variant,5yearly,Regi,Namibia
