country,variant,freq,year,netmigrationrateper1000pop
776,estimates,5yearly,1950,-6.296
776,estimates,5yearly,1955,-16.849
776,estimates,5yearly,1960,0.303
776,estimates,5yearly,1965,-7.93
776,estimates,5yearly,1970,-17.682
776,estimates,5yearly,1975,-17.4
776,estimates,5yearly,1980,-26.834
776,estimates,5yearly,1985,-23.06
776,estimates,5yearly,1990,-23.181
776,estimates,5yearly,1995,-17.926
776,estimates,5yearly,2000,-16.329
776,estimates,5yearly,2005,-15.978
776,estimates,5yearly,2010,-15.35
776,medium_variant,5yearly,2015,-8.892
776,medium_variant,5yearly,2020,-8.606
776,medium_variant,5yearly,2025,-8.238
776,medium_variant,5yearly,2030,-7.867
776,medium_variant,5yearly,2035,-7.533
776,medium_variant,5yearly,2040,-7.256
776,medium_variant,5yearly,2045,-7.046
776,medium_variant,5yearly,2050,-6.535
776,medium_variant,5yearly,2055,-6.055
776,medium_variant,5yearly,2060,-5.596
776,medium_variant,5yearly,2065,-5.16
776,medium_variant,5yearly,2070,-4.744
776,medium_variant,5yearly,2075,-4.377
776,medium_variant,5yearly,2080,-4.034
776,medium_variant,5yearly,2085,-3.705
776,medium_variant,5yearly,2090,-3.383
776,medium_variant,5yearly,2095,-3.067
