country,variant,freq,year,netmigrationrateper1000pop
203,estimates,5yearly,1950,1.314
203,estimates,5yearly,1955,-0.768
203,estimates,5yearly,1960,0.515
203,estimates,5yearly,1965,-2.631
203,estimates,5yearly,1970,0.201
203,estimates,5yearly,1975,0.196
203,estimates,5yearly,1980,-1.024
203,estimates,5yearly,1985,0.11
203,estimates,5yearly,1990,0.58
203,estimates,5yearly,1995,0.891
203,estimates,5yearly,2000,0.923
203,estimates,5yearly,2005,4.826
203,estimates,5yearly,2010,1.135
203,medium_variant,5yearly,2015,1.13
203,medium_variant,5yearly,2020,1.13
203,medium_variant,5yearly,2025,1.135
203,medium_variant,5yearly,2030,1.147
203,medium_variant,5yearly,2035,1.162
203,medium_variant,5yearly,2040,1.175
203,medium_variant,5yearly,2045,1.188
203,medium_variant,5yearly,2050,1.141
203,medium_variant,5yearly,2055,1.096
203,medium_variant,5yearly,2060,1.054
203,medium_variant,5yearly,2065,1.012
203,medium_variant,5yearly,2070,0.967
203,medium_variant,5yearly,2075,0.916
203,medium_variant,5yearly,2080,0.859
203,medium_variant,5yearly,2085,0.799
203,medium_variant,5yearly,2090,0.736
203,medium_variant,5yearly,2095,0.673
