country,variant,freq,year,netmigrationrateper1000pop
116,estimates,5yearly,1950,0.0
116,estimates,5yearly,1955,0.0
116,estimates,5yearly,1960,0.0
116,estimates,5yearly,1965,-7.428
116,estimates,5yearly,1970,-3.444
116,estimates,5yearly,1975,-2.392
116,estimates,5yearly,1980,-2.467
116,estimates,5yearly,1985,-1.87
116,estimates,5yearly,1990,8.344
116,estimates,5yearly,1995,6.112
116,estimates,5yearly,2000,-0.553
116,estimates,5yearly,2005,-4.293
116,estimates,5yearly,2010,-2.012
116,medium_variant,5yearly,2015,-1.861
116,medium_variant,5yearly,2020,-1.738
116,medium_variant,5yearly,2025,-1.639
116,medium_variant,5yearly,2030,-1.558
116,medium_variant,5yearly,2035,-1.488
116,medium_variant,5yearly,2040,-1.43
116,medium_variant,5yearly,2045,-1.383
116,medium_variant,5yearly,2050,-1.279
116,medium_variant,5yearly,2055,-1.187
116,medium_variant,5yearly,2060,-1.105
116,medium_variant,5yearly,2065,-1.029
116,medium_variant,5yearly,2070,-0.96
116,medium_variant,5yearly,2075,-0.896
116,medium_variant,5yearly,2080,-0.834
116,medium_variant,5yearly,2085,-0.774
116,medium_variant,5yearly,2090,-0.715
116,medium_variant,5yearly,2095,-0.656
116,estimates,5yearly,Regi,Cambodia
116,medium_variant,5yearly,Regi,Cambodia
