country,variant,freq,year,netmigrationrateper1000pop
108,estimates,5yearly,1950,-5.781
108,estimates,5yearly,1955,-5.269
108,estimates,5yearly,1960,-5.797
108,estimates,5yearly,1965,-3.545
108,estimates,5yearly,1970,-14.626
108,estimates,5yearly,1975,-7.719
108,estimates,5yearly,1980,-6.311
108,estimates,5yearly,1985,-5.961
108,estimates,5yearly,1990,-10.635
108,estimates,5yearly,1995,-14.414
108,estimates,5yearly,2000,1.472
108,estimates,5yearly,2005,2.522
108,estimates,5yearly,2010,-1.476
108,medium_variant,5yearly,2015,0.361
108,medium_variant,5yearly,2020,0.155
108,medium_variant,5yearly,2025,0.135
108,medium_variant,5yearly,2030,0.118
108,medium_variant,5yearly,2035,0.104
108,medium_variant,5yearly,2040,0.092
108,medium_variant,5yearly,2045,0.082
108,medium_variant,5yearly,2050,0.07
108,medium_variant,5yearly,2055,0.06
108,medium_variant,5yearly,2060,0.052
108,medium_variant,5yearly,2065,0.044
108,medium_variant,5yearly,2070,0.038
108,medium_variant,5yearly,2075,0.033
108,medium_variant,5yearly,2080,0.029
108,medium_variant,5yearly,2085,0.025
108,medium_variant,5yearly,2090,0.022
108,medium_variant,5yearly,2095,0.019
108,estimates,5yearly,Regi,Burundi
108,medium_variant,5yearly,Regi,Burundi
