country,variant,freq,year,netmigrationrateper1000pop
275,estimates,5yearly,1950,-14.338
275,estimates,5yearly,1955,-13.216
275,estimates,5yearly,1960,-13.738
275,estimates,5yearly,1965,-48.986
275,estimates,5yearly,1970,-5.274
275,estimates,5yearly,1975,-11.828
275,estimates,5yearly,1980,-7.522
275,estimates,5yearly,1985,-4.079
275,estimates,5yearly,1990,2.967
275,estimates,5yearly,1995,4.794
275,estimates,5yearly,2000,-11.178
275,estimates,5yearly,2005,-4.71
275,estimates,5yearly,2010,-2.005
275,medium_variant,5yearly,2015,-1.315
275,medium_variant,5yearly,2020,-0.881
275,medium_variant,5yearly,2025,-0.784
275,medium_variant,5yearly,2030,-0.704
275,medium_variant,5yearly,2035,-0.638
275,medium_variant,5yearly,2040,-0.583
275,medium_variant,5yearly,2045,-0.536
275,medium_variant,5yearly,2050,-0.472
275,medium_variant,5yearly,2055,-0.417
275,medium_variant,5yearly,2060,-0.37
275,medium_variant,5yearly,2065,-0.33
275,medium_variant,5yearly,2070,-0.295
275,medium_variant,5yearly,2075,-0.263
275,medium_variant,5yearly,2080,-0.236
275,medium_variant,5yearly,2085,-0.211
275,medium_variant,5yearly,2090,-0.188
275,medium_variant,5yearly,2095,-0.167
275,estimates,5yearly,Regi,State of Palestine
275,medium_variant,5yearly,Regi,State of Palestine
