country,variant,freq,year,netmigrationrateper1000pop
418,estimates,5yearly,1950,-0.001
418,estimates,5yearly,1955,0.005
418,estimates,5yearly,1960,0.007
418,estimates,5yearly,1965,0.002
418,estimates,5yearly,1970,0.003
418,estimates,5yearly,1975,-12.6
418,estimates,5yearly,1980,-2.022
418,estimates,5yearly,1985,0.007
418,estimates,5yearly,1990,-2.659
418,estimates,5yearly,1995,-5.294
418,estimates,5yearly,2000,-5.345
418,estimates,5yearly,2005,-3.675
418,estimates,5yearly,2010,-5.499
418,medium_variant,5yearly,2015,-2.127
418,medium_variant,5yearly,2020,-1.988
418,medium_variant,5yearly,2025,-1.876
418,medium_variant,5yearly,2030,-1.786
418,medium_variant,5yearly,2035,-1.715
418,medium_variant,5yearly,2040,-1.661
418,medium_variant,5yearly,2045,-1.621
418,medium_variant,5yearly,2050,-1.514
418,medium_variant,5yearly,2055,-1.421
418,medium_variant,5yearly,2060,-1.338
418,medium_variant,5yearly,2065,-1.264
418,medium_variant,5yearly,2070,-1.196
418,medium_variant,5yearly,2075,-1.133
418,medium_variant,5yearly,2080,-1.071
418,medium_variant,5yearly,2085,-1.01
418,medium_variant,5yearly,2090,-0.948
418,medium_variant,5yearly,2095,-0.885
418,estimates,5yearly,Regi,Lao People's Democratic Republic
418,medium_variant,5yearly,Regi,Lao People's Democratic Republic
