country,variant,freq,year,netmigrationrateper1000pop
703,estimates,5yearly,1950,3.78
703,estimates,5yearly,1955,0.904
703,estimates,5yearly,1960,-1.24
703,estimates,5yearly,1965,-2.593
703,estimates,5yearly,1970,-0.657
703,estimates,5yearly,1975,-0.398
703,estimates,5yearly,1980,-1.369
703,estimates,5yearly,1985,-1.351
703,estimates,5yearly,1990,-0.567
703,estimates,5yearly,1995,-0.11
703,estimates,5yearly,2000,0.044
703,estimates,5yearly,2005,-0.328
703,estimates,5yearly,2010,0.419
703,medium_variant,5yearly,2015,0.184
703,medium_variant,5yearly,2020,0.184
703,medium_variant,5yearly,2025,0.185
703,medium_variant,5yearly,2030,0.187
703,medium_variant,5yearly,2035,0.191
703,medium_variant,5yearly,2040,0.195
703,medium_variant,5yearly,2045,0.199
703,medium_variant,5yearly,2050,0.194
703,medium_variant,5yearly,2055,0.188
703,medium_variant,5yearly,2060,0.183
703,medium_variant,5yearly,2065,0.178
703,medium_variant,5yearly,2070,0.172
703,medium_variant,5yearly,2075,0.166
703,medium_variant,5yearly,2080,0.158
703,medium_variant,5yearly,2085,0.149
703,medium_variant,5yearly,2090,0.14
703,medium_variant,5yearly,2095,0.129
