region,variant,freq,year,lifeexpectancyatbirth
1501,estimates,5yearly,1950,39.7510022150476
1501,estimates,5yearly,1955,43.1456915811649
1501,estimates,5yearly,1960,46.1596789455445
1501,estimates,5yearly,1965,49.1340516849397
1501,estimates,5yearly,1970,51.3829648898926
1501,estimates,5yearly,1975,54.0210185758778
1501,estimates,5yearly,1980,56.4619970462036
1501,estimates,5yearly,1985,58.154162091149
1501,estimates,5yearly,1990,59.7810938064637
1501,estimates,5yearly,1995,61.2822921077398
1501,estimates,5yearly,2000,62.8565318963743
1501,estimates,5yearly,2005,64.7500816715901
1501,estimates,5yearly,2010,66.5505599491197
1501,medium_variant,5yearly,2015,67.8023447931688
1501,medium_variant,5yearly,2020,68.9197136950419
1501,medium_variant,5yearly,2025,69.9307778559529
1501,medium_variant,5yearly,2030,70.8746258553108
1501,medium_variant,5yearly,2035,71.7534260832619
1501,medium_variant,5yearly,2040,72.6078327370668
1501,medium_variant,5yearly,2045,73.4242260842567
1501,medium_variant,5yearly,2050,74.217217662319
1501,medium_variant,5yearly,2055,74.9611611555025
1501,medium_variant,5yearly,2060,75.672223643605
1501,medium_variant,5yearly,2065,76.3509415687835
1501,medium_variant,5yearly,2070,77.010943102015
1501,medium_variant,5yearly,2075,77.6507939504449
1501,medium_variant,5yearly,2080,78.2717376704813
1501,medium_variant,5yearly,2085,78.8907310933346
1501,medium_variant,5yearly,2090,79.4946360685749
1501,medium_variant,5yearly,2095,80.1092517893567
1501,estimates,5yearly,Regi,Lower-middle-income countries
1501,medium_variant,5yearly,Regi,Lower-middle-income countries
