continent,variant,freq,year,netmigrationrateper1000pop
903,estimates,5yearly,1950,-0.471
903,estimates,5yearly,1955,-0.425
903,estimates,5yearly,1960,-0.621
903,estimates,5yearly,1965,-0.646
903,estimates,5yearly,1970,-1.168
903,estimates,5yearly,1975,-0.805
903,estimates,5yearly,1980,-0.666
903,estimates,5yearly,1985,-0.585
903,estimates,5yearly,1990,-0.101
903,estimates,5yearly,1995,-0.636
903,estimates,5yearly,2000,-0.481
903,estimates,5yearly,2005,-0.679
903,estimates,5yearly,2010,-0.584
903,medium_variant,5yearly,2015,-0.363
903,medium_variant,5yearly,2020,-0.31
903,medium_variant,5yearly,2025,-0.292
903,medium_variant,5yearly,2030,-0.266
903,medium_variant,5yearly,2035,-0.24
903,medium_variant,5yearly,2040,-0.217
903,medium_variant,5yearly,2045,-0.199
903,medium_variant,5yearly,2050,-0.173
903,medium_variant,5yearly,2055,-0.151
903,medium_variant,5yearly,2060,-0.133
903,medium_variant,5yearly,2065,-0.117
903,medium_variant,5yearly,2070,-0.103
903,medium_variant,5yearly,2075,-0.091
903,medium_variant,5yearly,2080,-0.08
903,medium_variant,5yearly,2085,-0.071
903,medium_variant,5yearly,2090,-0.062
903,medium_variant,5yearly,2095,-0.055
