continent,variant,freq,year,netmigrationrateper1000pop
904,estimates,5yearly,1950,-0.224
904,estimates,5yearly,1955,-1.036
904,estimates,5yearly,1960,-1.252
904,estimates,5yearly,1965,-1.48
904,estimates,5yearly,1970,-1.522
904,estimates,5yearly,1975,-1.9
904,estimates,5yearly,1980,-1.823
904,estimates,5yearly,1985,-1.773
904,estimates,5yearly,1990,-1.428
904,estimates,5yearly,1995,-1.927
904,estimates,5yearly,2000,-2.063
904,estimates,5yearly,2005,-0.862
904,estimates,5yearly,2010,-0.599
904,medium_variant,5yearly,2015,-0.516
904,medium_variant,5yearly,2020,-0.429
904,medium_variant,5yearly,2025,-0.349
904,medium_variant,5yearly,2030,-0.34
904,medium_variant,5yearly,2035,-0.322
904,medium_variant,5yearly,2040,-0.314
904,medium_variant,5yearly,2045,-0.308
904,medium_variant,5yearly,2050,-0.29
904,medium_variant,5yearly,2055,-0.273
904,medium_variant,5yearly,2060,-0.258
904,medium_variant,5yearly,2065,-0.244
904,medium_variant,5yearly,2070,-0.231
904,medium_variant,5yearly,2075,-0.218
904,medium_variant,5yearly,2080,-0.205
904,medium_variant,5yearly,2085,-0.192
904,medium_variant,5yearly,2090,-0.179
904,medium_variant,5yearly,2095,-0.166
