continent,variant,freq,year,netmigrationrateper1000pop
905,estimates,5yearly,1950,1.748
905,estimates,5yearly,1955,2.725
905,estimates,5yearly,1960,1.891
905,estimates,5yearly,1965,1.916
905,estimates,5yearly,1970,3.135
905,estimates,5yearly,1975,3.512
905,estimates,5yearly,1980,2.899
905,estimates,5yearly,1985,3.145
905,estimates,5yearly,1990,3.623
905,estimates,5yearly,1995,6.165
905,estimates,5yearly,2000,3.892
905,estimates,5yearly,2005,3.734
905,estimates,5yearly,2010,3.229
905,medium_variant,5yearly,2015,3.088
905,medium_variant,5yearly,2020,3.113
905,medium_variant,5yearly,2025,3.136
905,medium_variant,5yearly,2030,3.04
905,medium_variant,5yearly,2035,2.96
905,medium_variant,5yearly,2040,2.893
905,medium_variant,5yearly,2045,2.834
905,medium_variant,5yearly,2050,2.641
905,medium_variant,5yearly,2055,2.456
905,medium_variant,5yearly,2060,2.277
905,medium_variant,5yearly,2065,2.105
905,medium_variant,5yearly,2070,1.942
905,medium_variant,5yearly,2075,1.788
905,medium_variant,5yearly,2080,1.641
905,medium_variant,5yearly,2085,1.499
905,medium_variant,5yearly,2090,1.361
905,medium_variant,5yearly,2095,1.227
905,estimates,5yearly,Regi,NORTHERN AMERICA
905,medium_variant,5yearly,Regi,NORTHERN AMERICA
