continent,year,variant,freq,age5yearinterval,fertilityrateper1000women
903,1950,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1950,estimates,5yearly,15_19,150.202813420644
903,1950,estimates,5yearly,20_24,293.05665616805
903,1950,estimates,5yearly,25_29,291.796663450364
903,1950,estimates,5yearly,30_34,252.076489596841
903,1950,estimates,5yearly,35_39,185.644777130492
903,1950,estimates,5yearly,40_44,105.291514497147
903,1950,estimates,5yearly,45_49,45.8131251175354
903,1955,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1955,estimates,5yearly,15_19,150.178704100858
903,1955,estimates,5yearly,20_24,293.7973837668
903,1955,estimates,5yearly,25_29,293.845269685738
903,1955,estimates,5yearly,30_34,254.73937661218
903,1955,estimates,5yearly,35_39,188.14620527923
903,1955,estimates,5yearly,40_44,106.439611539464
903,1955,estimates,5yearly,45_49,45.1725398146363
903,1960,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1960,estimates,5yearly,15_19,150.580912587099
903,1960,estimates,5yearly,20_24,295.325769594943
903,1960,estimates,5yearly,25_29,296.101304987221
903,1960,estimates,5yearly,30_34,258.335996218154
903,1960,estimates,5yearly,35_39,191.638073034074
903,1960,estimates,5yearly,40_44,108.169621200374
903,1960,estimates,5yearly,45_49,44.7859385469142
903,1965,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1965,estimates,5yearly,15_19,147.973286369015
903,1965,estimates,5yearly,20_24,294.146894385412
903,1965,estimates,5yearly,25_29,295.469720700764
903,1965,estimates,5yearly,30_34,258.423621658691
903,1965,estimates,5yearly,35_39,193.711093819775
903,1965,estimates,5yearly,40_44,109.330255218842
903,1965,estimates,5yearly,45_49,44.2261166831202
903,1970,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1970,estimates,5yearly,15_19,146.516620191651
903,1970,estimates,5yearly,20_24,292.179754119725
903,1970,estimates,5yearly,25_29,295.8726779987
903,1970,estimates,5yearly,30_34,257.823135498308
903,1970,estimates,5yearly,35_39,195.796996675985
903,1970,estimates,5yearly,40_44,109.836759372929
903,1970,estimates,5yearly,45_49,43.6020465335359
903,1975,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1975,estimates,5yearly,15_19,143.94328575084
903,1975,estimates,5yearly,20_24,285.795567259148
903,1975,estimates,5yearly,25_29,293.910635467568
903,1975,estimates,5yearly,30_34,257.056985201448
903,1975,estimates,5yearly,35_39,195.032403250519
903,1975,estimates,5yearly,40_44,109.819948852091
903,1975,estimates,5yearly,45_49,42.621828767135
903,1980,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1980,estimates,5yearly,15_19,136.294761275023
903,1980,estimates,5yearly,20_24,276.691574989553
903,1980,estimates,5yearly,25_29,287.952857701858
903,1980,estimates,5yearly,30_34,254.522636758609
903,1980,estimates,5yearly,35_39,193.46267670975
903,1980,estimates,5yearly,40_44,106.930090966032
903,1980,estimates,5yearly,45_49,41.066853682786
903,1985,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1985,estimates,5yearly,15_19,126.953859826729
903,1985,estimates,5yearly,20_24,261.144944348367
903,1985,estimates,5yearly,25_29,276.0524069897
903,1985,estimates,5yearly,30_34,245.189770866478
903,1985,estimates,5yearly,35_39,184.980027980305
903,1985,estimates,5yearly,40_44,103.088572907298
903,1985,estimates,5yearly,45_49,38.3450465309131
903,1990,estimates,5yearly,"Region, subregion, country or area *",AFRICA
903,1990,estimates,5yearly,15_19,120.974588721647
903,1990,estimates,5yearly,20_24,244.169418538842
903,1990,estimates,5yearly,25_29,256.515968035789
903,1990,estimates,5yearly,30_34,227.107283973471
903,1990,estimates,5yearly,35_39,169.023877735238
