region,year,variant,freq,age5yearinterval,noofbirthbymother
916,1950,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1950,estimates,5yearly,15_19,1277.927
916,1950,estimates,5yearly,20_24,2773.156
916,1950,estimates,5yearly,25_29,2534.802
916,1950,estimates,5yearly,30_34,1792.643
916,1950,estimates,5yearly,35_39,1051.908
916,1950,estimates,5yearly,40_44,455.88
916,1950,estimates,5yearly,45_49,102.73
916,1955,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1955,estimates,5yearly,15_19,1433.9
916,1955,estimates,5yearly,20_24,3003.532
916,1955,estimates,5yearly,25_29,2854.063
916,1955,estimates,5yearly,30_34,2144.188
916,1955,estimates,5yearly,35_39,1226.431
916,1955,estimates,5yearly,40_44,503.641
916,1955,estimates,5yearly,45_49,114.743
916,1960,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1960,estimates,5yearly,15_19,1671.073
916,1960,estimates,5yearly,20_24,3320.655
916,1960,estimates,5yearly,25_29,3090.905
916,1960,estimates,5yearly,30_34,2359.844
916,1960,estimates,5yearly,35_39,1456.378
916,1960,estimates,5yearly,40_44,567.916
916,1960,estimates,5yearly,45_49,118.091
916,1965,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1965,estimates,5yearly,15_19,2057.094
916,1965,estimates,5yearly,20_24,3842.482
916,1965,estimates,5yearly,25_29,3412.413
916,1965,estimates,5yearly,30_34,2501.246
916,1965,estimates,5yearly,35_39,1613.639
916,1965,estimates,5yearly,40_44,671.22
916,1965,estimates,5yearly,45_49,135.19
916,1970,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1970,estimates,5yearly,15_19,2544.802
916,1970,estimates,5yearly,20_24,4742.335
916,1970,estimates,5yearly,25_29,3894.77
916,1970,estimates,5yearly,30_34,2701.339
916,1970,estimates,5yearly,35_39,1661.801
916,1970,estimates,5yearly,40_44,717.248
916,1970,estimates,5yearly,45_49,152.502
916,1975,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1975,estimates,5yearly,15_19,2721.223
916,1975,estimates,5yearly,20_24,5172.375
916,1975,estimates,5yearly,25_29,4078.317
916,1975,estimates,5yearly,30_34,2521.349
916,1975,estimates,5yearly,35_39,1440.819
916,1975,estimates,5yearly,40_44,558.868
916,1975,estimates,5yearly,45_49,119.121
916,1980,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1980,estimates,5yearly,15_19,2841.768
916,1980,estimates,5yearly,20_24,5212.36
916,1980,estimates,5yearly,25_29,4220.008
916,1980,estimates,5yearly,30_34,2525.376
916,1980,estimates,5yearly,35_39,1309.584
916,1980,estimates,5yearly,40_44,455.831
916,1980,estimates,5yearly,45_49,89.583
916,1985,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1985,estimates,5yearly,15_19,3044.59
916,1985,estimates,5yearly,20_24,5344.972
916,1985,estimates,5yearly,25_29,4214.933
916,1985,estimates,5yearly,30_34,2629.213
916,1985,estimates,5yearly,35_39,1343.711
916,1985,estimates,5yearly,40_44,413.105
