country,variant,freq,year,netnumberofmigrants
233,estimates,5yearly,1950,36.999
233,estimates,5yearly,1955,26.899
233,estimates,5yearly,1960,43.228
233,estimates,5yearly,1965,41.204
233,estimates,5yearly,1970,30.581
233,estimates,5yearly,1975,30.51
233,estimates,5yearly,1980,25.9
233,estimates,5yearly,1985,15.497
233,estimates,5yearly,1990,-111.876
233,estimates,5yearly,1995,-1.197
233,estimates,5yearly,2000,-18.406
233,estimates,5yearly,2005,-15.151
233,estimates,5yearly,2010,-11.85
233,mediumvariant,5yearly,2015,-4.999
233,mediumvariant,5yearly,2020,-4.999
233,mediumvariant,5yearly,2025,-4.999
233,mediumvariant,5yearly,2030,-4.999
233,mediumvariant,5yearly,2035,-4.999
233,mediumvariant,5yearly,2040,-4.999
233,mediumvariant,5yearly,2045,-4.999
233,mediumvariant,5yearly,2050,-4.748
233,mediumvariant,5yearly,2055,-4.505
233,mediumvariant,5yearly,2060,-4.249
233,mediumvariant,5yearly,2065,-3.999
233,mediumvariant,5yearly,2070,-3.748
233,mediumvariant,5yearly,2075,-3.501
233,mediumvariant,5yearly,2080,-3.249
233,mediumvariant,5yearly,2085,-2.999
233,mediumvariant,5yearly,2090,-2.75
233,mediumvariant,5yearly,2095,-2.503
