country,variant,freq,year,netnumberofmigrants
694,estimates,5yearly,1950,0
694,estimates,5yearly,1955,0
694,estimates,5yearly,1960,0
694,estimates,5yearly,1965,0
694,estimates,5yearly,1970,0
694,estimates,5yearly,1975,0
694,estimates,5yearly,1980,0
694,estimates,5yearly,1985,62.745
694,estimates,5yearly,1990,-450
694,estimates,5yearly,1995,-150
694,estimates,5yearly,2000,500
694,estimates,5yearly,2005,60
694,estimates,5yearly,2010,-21
694,mediumvariant,5yearly,2015,-21
694,mediumvariant,5yearly,2020,-30
694,mediumvariant,5yearly,2025,-30
694,mediumvariant,5yearly,2030,-30
694,mediumvariant,5yearly,2035,-30
694,mediumvariant,5yearly,2040,-30
694,mediumvariant,5yearly,2045,-30
694,mediumvariant,5yearly,2050,-28.5
694,mediumvariant,5yearly,2055,-27
694,mediumvariant,5yearly,2060,-25.5
694,mediumvariant,5yearly,2065,-24
694,mediumvariant,5yearly,2070,-22.5
694,mediumvariant,5yearly,2075,-21
694,mediumvariant,5yearly,2080,-19.5
694,mediumvariant,5yearly,2085,-18
694,mediumvariant,5yearly,2090,-16.5
694,mediumvariant,5yearly,2095,-15
