country,variant,freq,year,netnumberofmigrants
840,estimates,5yearly,1950,960.424
840,estimates,5yearly,1955,2112.299
840,estimates,5yearly,1960,1829.274
840,estimates,5yearly,1965,1549.465
840,estimates,5yearly,1970,2940.497
840,estimates,5yearly,1975,3926.811
840,estimates,5yearly,1980,3402.26
840,estimates,5yearly,1985,3428.74
840,estimates,5yearly,1990,4516.808
840,estimates,5yearly,1995,8612.074
840,estimates,5yearly,2000,5206.538
840,estimates,5yearly,2005,5033.689
840,estimates,5yearly,2010,4500.0
840,medium_variant,5yearly,2015,4500.0
840,medium_variant,5yearly,2020,4750.003
840,medium_variant,5yearly,2025,5000.0
840,medium_variant,5yearly,2030,5000.0
840,medium_variant,5yearly,2035,5000.0
840,medium_variant,5yearly,2040,5000.0
840,medium_variant,5yearly,2045,5000.0
840,medium_variant,5yearly,2050,4750.003
840,medium_variant,5yearly,2055,4500.0
840,medium_variant,5yearly,2060,4250.0
840,medium_variant,5yearly,2065,3999.998
840,medium_variant,5yearly,2070,3750.0
840,medium_variant,5yearly,2075,3500.001
840,medium_variant,5yearly,2080,3249.998
840,medium_variant,5yearly,2085,2999.999
840,medium_variant,5yearly,2090,2749.999
840,medium_variant,5yearly,2095,2500.0
840,estimates,5yearly,Regi,United States of America
840,medium_variant,5yearly,Regi,United States of America
