country,variant,freq,year,netnumberofmigrants
450,estimates,5yearly,1950,0
450,estimates,5yearly,1955,0
450,estimates,5yearly,1960,0
450,estimates,5yearly,1965,-8
450,estimates,5yearly,1970,-19
450,estimates,5yearly,1975,-30
450,estimates,5yearly,1980,-10
450,estimates,5yearly,1985,-10
450,estimates,5yearly,1990,-9.5
450,estimates,5yearly,1995,-8.5
450,estimates,5yearly,2000,-7.5
450,estimates,5yearly,2005,-7.5
450,estimates,5yearly,2010,-7.5
450,medium_variant,5yearly,2015,-7.5
450,medium_variant,5yearly,2020,-7.5
450,medium_variant,5yearly,2025,-7.5
450,medium_variant,5yearly,2030,-7.5
450,medium_variant,5yearly,2035,-7.5
450,medium_variant,5yearly,2040,-7.5
450,medium_variant,5yearly,2045,-7.5
450,medium_variant,5yearly,2050,-7.125
450,medium_variant,5yearly,2055,-6.75
450,medium_variant,5yearly,2060,-6.375
450,medium_variant,5yearly,2065,-6
450,medium_variant,5yearly,2070,-5.625
450,medium_variant,5yearly,2075,-5.25
450,medium_variant,5yearly,2080,-4.875
450,medium_variant,5yearly,2085,-4.5
450,medium_variant,5yearly,2090,-4.125
450,medium_variant,5yearly,2095,-3.75
