country,variant,freq,year,netnumberofmigrants
268,estimates,5yearly,1950,44.879
268,estimates,5yearly,1955,68.186
268,estimates,5yearly,1960,96.284
268,estimates,5yearly,1965,85.196
268,estimates,5yearly,1970,-73.425
268,estimates,5yearly,1975,-95.444
268,estimates,5yearly,1980,-47.827
268,estimates,5yearly,1985,-43.659
268,estimates,5yearly,1990,-544.069
268,estimates,5yearly,1995,-366.036
268,estimates,5yearly,2000,-277.521
268,estimates,5yearly,2005,-299.482
268,estimates,5yearly,2010,-305.269
268,medium_variant,5yearly,2015,-50
268,medium_variant,5yearly,2020,-50
268,medium_variant,5yearly,2025,-50
268,medium_variant,5yearly,2030,-50
268,medium_variant,5yearly,2035,-50
268,medium_variant,5yearly,2040,-50
268,medium_variant,5yearly,2045,-50
268,medium_variant,5yearly,2050,-47.499
268,medium_variant,5yearly,2055,-45.001
268,medium_variant,5yearly,2060,-42.503
268,medium_variant,5yearly,2065,-39.998
268,medium_variant,5yearly,2070,-37.499
268,medium_variant,5yearly,2075,-35
268,medium_variant,5yearly,2080,-32.501
268,medium_variant,5yearly,2085,-29.997
268,medium_variant,5yearly,2090,-27.498
268,medium_variant,5yearly,2095,-24.998
