country,variant,freq,year,netnumberofmigrants
40,estimates,5yearly,1950,-77.999
40,estimates,5yearly,1955,-52.002
40,estimates,5yearly,1960,15.996
40,estimates,5yearly,1965,50.401
40,estimates,5yearly,1970,82.001
40,estimates,5yearly,1975,5.502
40,estimates,5yearly,1980,18.002
40,estimates,5yearly,1985,110.999
40,estimates,5yearly,1990,227.841
40,estimates,5yearly,1995,65.082
40,estimates,5yearly,2000,178.117
40,estimates,5yearly,2005,153.763
40,estimates,5yearly,2010,147.089
40,mediumvariant,5yearly,2015,99.999
40,mediumvariant,5yearly,2020,99.999
40,mediumvariant,5yearly,2025,99.999
40,mediumvariant,5yearly,2030,99.999
40,mediumvariant,5yearly,2035,99.999
40,mediumvariant,5yearly,2040,99.999
40,mediumvariant,5yearly,2045,99.999
40,mediumvariant,5yearly,2050,95
40,mediumvariant,5yearly,2055,90
40,mediumvariant,5yearly,2060,84.999
40,mediumvariant,5yearly,2065,80
40,mediumvariant,5yearly,2070,74.999
40,mediumvariant,5yearly,2075,69.998
40,mediumvariant,5yearly,2080,65
40,mediumvariant,5yearly,2085,59.997
40,mediumvariant,5yearly,2090,55.001
40,mediumvariant,5yearly,2095,50.002
