country,variant,freq,year,netnumberofmigrants
795,estimates,5yearly,1950,8.725
795,estimates,5yearly,1955,30.021
795,estimates,5yearly,1960,26.783
795,estimates,5yearly,1965,28.147
795,estimates,5yearly,1970,25.346
795,estimates,5yearly,1975,-5.07
795,estimates,5yearly,1980,-35.795
795,estimates,5yearly,1985,-39.702
795,estimates,5yearly,1990,43.633
795,estimates,5yearly,1995,-64.674
795,estimates,5yearly,2000,-125.883
795,estimates,5yearly,2005,-62.717
795,estimates,5yearly,2010,-50.002
795,medium_variant,5yearly,2015,-25.001
795,medium_variant,5yearly,2020,-25.001
795,medium_variant,5yearly,2025,-25.001
795,medium_variant,5yearly,2030,-25.001
795,medium_variant,5yearly,2035,-25.001
795,medium_variant,5yearly,2040,-25.001
795,medium_variant,5yearly,2045,-25.001
795,medium_variant,5yearly,2050,-23.753
795,medium_variant,5yearly,2055,-22.498
795,medium_variant,5yearly,2060,-21.25
795,medium_variant,5yearly,2065,-20.001
795,medium_variant,5yearly,2070,-18.745
795,medium_variant,5yearly,2075,-17.501
795,medium_variant,5yearly,2080,-16.251
795,medium_variant,5yearly,2085,-15.002
795,medium_variant,5yearly,2090,-13.75
795,medium_variant,5yearly,2095,-12.495
