country,variant,freq,year,netnumberofmigrants
442,estimates,5yearly,1950,5.756
442,estimates,5yearly,1955,4.191
442,estimates,5yearly,1960,8.527
442,estimates,5yearly,1965,5.918
442,estimates,5yearly,1970,15.284
442,estimates,5yearly,1975,11.846
442,estimates,5yearly,1980,2.552
442,estimates,5yearly,1985,12.831
442,estimates,5yearly,1990,20.04
442,estimates,5yearly,1995,19.94
442,estimates,5yearly,2000,14.473
442,estimates,5yearly,2005,42.279
442,estimates,5yearly,2010,48.704
442,medium_variant,5yearly,2015,25.001
442,medium_variant,5yearly,2020,25.001
442,medium_variant,5yearly,2025,19.998
442,medium_variant,5yearly,2030,19.998
442,medium_variant,5yearly,2035,19.998
442,medium_variant,5yearly,2040,19.998
442,medium_variant,5yearly,2045,19.998
442,medium_variant,5yearly,2050,19.0
442,medium_variant,5yearly,2055,18.002
442,medium_variant,5yearly,2060,17.003
442,medium_variant,5yearly,2065,16.003
442,medium_variant,5yearly,2070,15.001
442,medium_variant,5yearly,2075,14.0
442,medium_variant,5yearly,2080,13.0
442,medium_variant,5yearly,2085,11.999
442,medium_variant,5yearly,2090,10.997
442,medium_variant,5yearly,2095,10.002
442,estimates,5yearly,Regi,Luxembourg
442,medium_variant,5yearly,Regi,Luxembourg
