region,variant,freq,year,infantmortalityper1000livebirth
1502,estimates,5yearly,1950,130.886097252013
1502,estimates,5yearly,1955,123.374873027698
1502,estimates,5yearly,1960,120.69313949888
1502,estimates,5yearly,1965,92.3981687488605
1502,estimates,5yearly,1970,74.7294811320109
1502,estimates,5yearly,1975,61.160356041559
1502,estimates,5yearly,1980,50.114754289302
1502,estimates,5yearly,1985,43.2328561775445
1502,estimates,5yearly,1990,38.9001923525719
1502,estimates,5yearly,1995,32.8195304782125
1502,estimates,5yearly,2000,25.7924641926236
1502,estimates,5yearly,2005,19.3970267956016
1502,estimates,5yearly,2010,15.1198224711128
1502,medium_variant,5yearly,2015,13.0064037364804
1502,medium_variant,5yearly,2020,11.4331253617357
1502,medium_variant,5yearly,2025,10.0897510016065
1502,medium_variant,5yearly,2030,8.9896578538735
1502,medium_variant,5yearly,2035,8.02943328795658
1502,medium_variant,5yearly,2040,7.1833160944304
1502,medium_variant,5yearly,2045,6.50992274611273
1502,medium_variant,5yearly,2050,5.96401831318393
1502,medium_variant,5yearly,2055,5.4836182077533
1502,medium_variant,5yearly,2060,5.04252817082568
1502,medium_variant,5yearly,2065,4.63763569298758
1502,medium_variant,5yearly,2070,4.30680516172657
1502,medium_variant,5yearly,2075,4.0094193225442
1502,medium_variant,5yearly,2080,3.74474219610217
1502,medium_variant,5yearly,2085,3.51432109978311
1502,medium_variant,5yearly,2090,3.30168397652735
1502,medium_variant,5yearly,2095,3.11679610136521
1502,estimates,5yearly,Regi,Upper-middle-income countries
1502,medium_variant,5yearly,Regi,Upper-middle-income countries
