continent,variant,freq,year,meanageforchildbearing
935,estimates,5yearly,1950,29.606
935,estimates,5yearly,1955,29.586
935,estimates,5yearly,1960,29.566
935,estimates,5yearly,1965,29.454
935,estimates,5yearly,1970,29.143
935,estimates,5yearly,1975,28.539
935,estimates,5yearly,1980,27.804
935,estimates,5yearly,1985,27.435
935,estimates,5yearly,1990,27.271
935,estimates,5yearly,1995,27.178
935,estimates,5yearly,2000,27.144
935,estimates,5yearly,2005,27.203
935,estimates,5yearly,2010,27.298
935,medium_variant,5yearly,2015,27.421
935,medium_variant,5yearly,2020,27.686
935,medium_variant,5yearly,2025,27.914
935,medium_variant,5yearly,2030,28.124
935,medium_variant,5yearly,2035,28.293
935,medium_variant,5yearly,2040,28.456
935,medium_variant,5yearly,2045,28.623
935,medium_variant,5yearly,2050,28.781
935,medium_variant,5yearly,2055,28.923
935,medium_variant,5yearly,2060,29.058
935,medium_variant,5yearly,2065,29.192
935,medium_variant,5yearly,2070,29.325
935,medium_variant,5yearly,2075,29.455
935,medium_variant,5yearly,2080,29.581
935,medium_variant,5yearly,2085,29.706
935,medium_variant,5yearly,2090,29.828
935,medium_variant,5yearly,2095,29.948
