continent,variant,freq,year,meanageforchildbearing
904,estimates,5yearly,1950,29.507
904,estimates,5yearly,1955,29.497
904,estimates,5yearly,1960,29.448
904,estimates,5yearly,1965,29.37
904,estimates,5yearly,1970,29.185
904,estimates,5yearly,1975,28.78
904,estimates,5yearly,1980,28.405
904,estimates,5yearly,1985,27.966
904,estimates,5yearly,1990,27.587
904,estimates,5yearly,1995,27.258
904,estimates,5yearly,2000,27.109
904,estimates,5yearly,2005,27.067
904,estimates,5yearly,2010,27.065
904,medium_variant,5yearly,2015,27.137
904,medium_variant,5yearly,2020,27.37
904,medium_variant,5yearly,2025,27.596
904,medium_variant,5yearly,2030,27.833
904,medium_variant,5yearly,2035,28.072
904,medium_variant,5yearly,2040,28.309
904,medium_variant,5yearly,2045,28.54
904,medium_variant,5yearly,2050,28.76
904,medium_variant,5yearly,2055,28.97
904,medium_variant,5yearly,2060,29.169
904,medium_variant,5yearly,2065,29.357
904,medium_variant,5yearly,2070,29.533
904,medium_variant,5yearly,2075,29.694
904,medium_variant,5yearly,2080,29.842
904,medium_variant,5yearly,2085,29.977
904,medium_variant,5yearly,2090,30.099
904,medium_variant,5yearly,2095,30.208
904,estimates,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
