region,variant,freq,year,meanageforchildbearing
902,estimates,5yearly,1950,29.579
902,estimates,5yearly,1955,29.582
902,estimates,5yearly,1960,29.582
902,estimates,5yearly,1965,29.515
902,estimates,5yearly,1970,29.29
902,estimates,5yearly,1975,28.845
902,estimates,5yearly,1980,28.312
902,estimates,5yearly,1985,27.989
902,estimates,5yearly,1990,27.788
902,estimates,5yearly,1995,27.625
902,estimates,5yearly,2000,27.556
902,estimates,5yearly,2005,27.577
902,estimates,5yearly,2010,27.615
902,medium_variant,5yearly,2015,27.674
902,medium_variant,5yearly,2020,27.831
902,medium_variant,5yearly,2025,27.984
902,medium_variant,5yearly,2030,28.149
902,medium_variant,5yearly,2035,28.298
902,medium_variant,5yearly,2040,28.436
902,medium_variant,5yearly,2045,28.567
902,medium_variant,5yearly,2050,28.69
902,medium_variant,5yearly,2055,28.809
902,medium_variant,5yearly,2060,28.929
902,medium_variant,5yearly,2065,29.049
902,medium_variant,5yearly,2070,29.164
902,medium_variant,5yearly,2075,29.274
902,medium_variant,5yearly,2080,29.383
902,medium_variant,5yearly,2085,29.492
902,medium_variant,5yearly,2090,29.601
902,medium_variant,5yearly,2095,29.71
902,estimates,5yearly,Regi,Less developed regions
902,medium_variant,5yearly,Regi,Less developed regions
