region,variant,freq,year,meanageforchildbearing
1501,estimates,5yearly,1950,29.368
1501,estimates,5yearly,1955,29.361
1501,estimates,5yearly,1960,29.321
1501,estimates,5yearly,1965,29.183
1501,estimates,5yearly,1970,28.996
1501,estimates,5yearly,1975,28.725
1501,estimates,5yearly,1980,28.467
1501,estimates,5yearly,1985,28.227
1501,estimates,5yearly,1990,27.982
1501,estimates,5yearly,1995,27.92
1501,estimates,5yearly,2000,27.81
1501,estimates,5yearly,2005,27.73
1501,estimates,5yearly,2010,27.705
1501,medium_variant,5yearly,2015,27.67
1501,medium_variant,5yearly,2020,27.718
1501,medium_variant,5yearly,2025,27.758
1501,medium_variant,5yearly,2030,27.847
1501,medium_variant,5yearly,2035,27.978
1501,medium_variant,5yearly,2040,28.134
1501,medium_variant,5yearly,2045,28.295
1501,medium_variant,5yearly,2050,28.449
1501,medium_variant,5yearly,2055,28.6
1501,medium_variant,5yearly,2060,28.756
1501,medium_variant,5yearly,2065,28.913
1501,medium_variant,5yearly,2070,29.067
1501,medium_variant,5yearly,2075,29.212
1501,medium_variant,5yearly,2080,29.351
1501,medium_variant,5yearly,2085,29.484
1501,medium_variant,5yearly,2090,29.614
1501,medium_variant,5yearly,2095,29.74
1501,estimates,5yearly,Regi,Lower-middle-income countries
1501,medium_variant,5yearly,Regi,Lower-middle-income countries
